frame,t,obs_idx,obs_x,obs_y,obs_color,map_id,map_x,map_y,map_color,m2,side_ok,color_penalty
0,54.144000,0,14.582,-2.080,blue,41,14.582,-2.080,blue,0.0000,1,0.0
0,54.144000,1,12.108,-3.733,blue,40,12.108,-3.733,blue,0.0000,1,0.0
0,54.144000,2,10.455,-6.207,blue,39,10.455,-6.207,blue,0.0000,1,0.0
0,54.144000,3,9.875,-9.125,blue,38,9.875,-9.125,blue,0.0000,1,0.0
0,54.144000,4,6.875,9.125,blue,15,6.875,9.125,blue,0.0000,1,0.0
0,54.144000,5,7.684,5.059,blue,14,7.684,5.059,blue,0.0000,1,0.0
0,54.144000,6,8.440,3.574,blue,13,8.440,3.574,blue,0.0000,1,0.0
0,54.144000,7,14.582,2.081,yellow,57,14.582,2.081,yellow,0.0000,1,0.0
0,54.144000,8,12.108,3.734,yellow,56,12.108,3.734,yellow,0.0000,1,0.0
0,54.144000,9,10.455,6.207,yellow,55,10.455,6.207,yellow,0.0000,1,0.0
0,54.144000,10,9.875,9.125,yellow,54,9.875,9.125,yellow,0.0000,1,0.0
0,54.144000,11,8.440,-3.573,yellow,12,8.440,-3.573,yellow,0.0000,1,0.0
0,54.144000,12,7.684,-5.059,yellow,11,7.684,-5.059,yellow,0.0000,1,0.0
0,54.144000,13,6.875,-9.125,yellow,10,6.875,-9.125,yellow,0.0000,1,0.0
0,54.144000,14,2.500,-1.500,orange,61,2.500,-1.500,orange,0.0000,1,0.0
0,54.144000,15,7.500,-1.500,orange,60,7.500,-1.500,orange,0.0000,1,0.0
0,54.144000,16,2.500,1.500,orange,59,2.500,1.500,orange,0.0000,1,0.0
0,54.144000,17,7.500,1.500,orange,58,7.500,1.500,orange,0.0000,1,0.0
1,59.294000,0,14.582,-2.080,blue,41,14.582,-2.080,blue,0.0000,1,0.0
1,59.294000,1,12.108,-3.733,blue,40,12.108,-3.733,blue,0.0000,1,0.0
1,59.294000,2,10.455,-6.207,blue,39,10.455,-6.207,blue,0.0000,1,0.0
1,59.294000,3,9.875,-9.125,blue,38,9.875,-9.125,blue,0.0000,1,0.0
1,59.294000,4,6.875,9.125,blue,15,6.875,9.125,blue,0.0000,1,0.0
1,59.294000,5,7.684,5.059,blue,14,7.684,5.059,blue,0.0000,1,0.0
1,59.294000,6,8.440,3.574,blue,13,8.440,3.574,blue,0.0000,1,0.0
1,59.294000,7,14.582,2.081,yellow,57,14.582,2.081,yellow,0.0000,1,0.0
1,59.294000,8,12.108,3.734,yellow,56,12.108,3.734,yellow,0.0000,1,0.0
1,59.294000,9,10.455,6.207,yellow,55,10.455,6.207,yellow,0.0000,1,0.0
1,59.294000,10,9.875,9.125,yellow,54,9.875,9.125,yellow,0.0000,1,0.0
1,59.294000,11,8.440,-3.573,yellow,12,8.440,-3.573,yellow,0.0000,1,0.0
1,59.294000,12,7.684,-5.059,yellow,11,7.684,-5.059,yellow,0.0000,1,0.0
1,59.294000,13,6.875,-9.125,yellow,10,6.875,-9.125,yellow,0.0000,1,0.0
1,59.294000,14,2.500,-1.500,orange,61,2.500,-1.500,orange,0.0000,1,0.0
1,59.294000,15,7.500,-1.500,orange,60,7.500,-1.500,orange,0.0000,1,0.0
1,59.294000,16,2.500,1.500,orange,59,2.500,1.500,orange,0.0000,1,0.0
1,59.294000,17,7.500,1.500,orange,58,7.500,1.500,orange,0.0000,1,0.0
2,64.934000,0,14.582,-2.080,blue,41,14.582,-2.080,blue,0.0000,1,0.0
2,64.934000,1,12.108,-3.733,blue,40,12.108,-3.733,blue,0.0000,1,0.0
2,64.934000,2,10.455,-6.207,blue,39,10.455,-6.207,blue,0.0000,1,0.0
2,64.934000,3,9.875,-9.125,blue,38,9.875,-9.125,blue,0.0000,1,0.0
2,64.934000,4,6.875,9.125,blue,15,6.875,9.125,blue,0.0000,1,0.0
2,64.934000,5,7.684,5.059,blue,14,7.684,5.059,blue,0.0000,1,0.0
2,64.934000,6,8.440,3.574,blue,13,8.440,3.574,blue,0.0000,1,0.0
2,64.934000,7,14.582,2.081,yellow,57,14.582,2.081,yellow,0.0000,1,0.0
2,64.934000,8,12.108,3.734,yellow,56,12.108,3.734,yellow,0.0000,1,0.0
2,64.934000,9,10.455,6.207,yellow,55,10.455,6.207,yellow,0.0000,1,0.0
2,64.934000,10,9.875,9.125,yellow,54,9.875,9.125,yellow,0.0000,1,0.0
2,64.934000,11,8.440,-3.573,yellow,12,8.440,-3.573,yellow,0.0000,1,0.0
2,64.934000,12,7.684,-5.059,yellow,11,7.684,-5.059,yellow,0.0000,1,0.0
2,64.934000,13,6.875,-9.125,yellow,10,6.875,-9.125,yellow,0.0000,1,0.0
