frame,t,obs_idx,obs_x,obs_y,obs_color,map_id,map_x,map_y,map_color,m2,side_ok,color_penalty
0,671.214000,0,37.500,-1.500,orange,-1,,,,,1,
0,671.214000,1,42.500,-1.500,orange,-1,,,,,1,
0,671.214000,2,42.500,-0.500,orange,-1,,,,,1,
0,671.214000,3,42.500,0.500,orange,-1,,,,,1,
0,671.214000,4,42.500,1.500,orange,-1,,,,,1,
0,671.214000,5,37.500,1.500,orange,-1,,,,,1,
1,671.224000,0,37.500,-1.500,orange,-1,,,,,1,
1,671.224000,1,42.500,-1.500,orange,-1,,,,,1,
1,671.224000,2,42.500,-0.500,orange,-1,,,,,1,
1,671.224000,3,42.500,0.500,orange,-1,,,,,1,
1,671.224000,4,42.500,1.500,orange,-1,,,,,1,
1,671.224000,5,37.500,1.500,orange,-1,,,,,1,
2,671.234000,0,37.500,-1.500,orange,-1,,,,,1,
2,671.234000,1,42.500,-1.500,orange,-1,,,,,1,
2,671.234000,2,42.500,-0.500,orange,-1,,,,,1,
2,671.234000,3,42.500,0.500,orange,-1,,,,,1,
2,671.234000,4,42.500,1.500,orange,-1,,,,,1,
2,671.234000,5,37.500,1.500,orange,-1,,,,,1,
3,671.244000,0,37.500,-1.500,orange,-1,,,,,1,
3,671.244000,1,42.500,-1.500,orange,-1,,,,,1,
3,671.244000,2,42.500,-0.500,orange,-1,,,,,1,
3,671.244000,3,42.500,0.500,orange,-1,,,,,1,
3,671.244000,4,42.500,1.500,orange,-1,,,,,1,
3,671.244000,5,37.500,1.500,orange,-1,,,,,1,
4,671.254000,0,37.500,-1.500,orange,-1,,,,,1,
4,671.254000,1,42.500,-1.500,orange,-1,,,,,1,
4,671.254000,2,42.500,-0.500,orange,-1,,,,,1,
4,671.254000,3,42.500,0.500,orange,-1,,,,,1,
4,671.254000,4,42.500,1.500,orange,-1,,,,,1,
4,671.254000,5,37.500,1.500,orange,-1,,,,,1,
5,671.264000,0,37.500,-1.500,orange,-1,,,,,1,
5,671.264000,1,42.500,-1.500,orange,-1,,,,,1,
5,671.264000,2,42.500,-0.500,orange,-1,,,,,1,
5,671.264000,3,42.500,0.500,orange,-1,,,,,1,
5,671.264000,4,42.500,1.500,orange,-1,,,,,1,
5,671.264000,5,37.500,1.500,orange,-1,,,,,1,
6,671.274000,0,37.500,-1.500,orange,-1,,,,,1,
6,671.274000,1,42.500,-1.500,orange,-1,,,,,1,
6,671.274000,2,42.500,-0.500,orange,-1,,,,,1,
6,671.274000,3,42.500,0.500,orange,-1,,,,,1,
6,671.274000,4,42.500,1.500,orange,-1,,,,,1,
6,671.274000,5,37.500,1.500,orange,-1,,,,,1,
7,671.284000,0,37.500,-1.500,orange,-1,,,,,1,
7,671.284000,1,42.500,-1.500,orange,-1,,,,,1,
7,671.284000,2,42.500,-0.500,orange,-1,,,,,1,
7,671.284000,3,42.500,0.500,orange,-1,,,,,1,
7,671.284000,4,42.500,1.500,orange,-1,,,,,1,
7,671.284000,5,37.500,1.500,orange,-1,,,,,1,
8,671.294000,0,37.500,-1.500,orange,-1,,,,,1,
8,671.294000,1,42.500,-1.500,orange,-1,,,,,1,
8,671.294000,2,42.500,-0.500,orange,-1,,,,,1,
8,671.294000,3,42.500,0.500,orange,-1,,,,,1,
8,671.294000,4,42.500,1.500,orange,-1,,,,,1,
8,671.294000,5,37.500,1.500,orange,-1,,,,,1,
9,671.304000,0,37.500,-1.500,orange,-1,,,,,1,
9,671.304000,1,42.500,-1.500,orange,-1,,,,,1,
9,671.304000,2,42.500,-0.500,orange,-1,,,,,1,
9,671.304000,3,42.500,0.500,orange,-1,,,,,1,
9,671.304000,4,42.500,1.500,orange,-1,,,,,1,
9,671.304000,5,37.500,1.500,orange,-1,,,,,1,
10,671.314000,0,37.500,-1.500,orange,-1,,,,,1,
10,671.314000,1,42.500,-1.500,orange,-1,,,,,1,
10,671.314000,2,42.500,-0.500,orange,-1,,,,,1,
10,671.314000,3,42.500,0.500,orange,-1,,,,,1,
10,671.314000,4,42.500,1.500,orange,-1,,,,,1,
10,671.314000,5,37.500,1.500,orange,-1,,,,,1,
11,671.324000,0,37.500,-1.500,orange,-1,,,,,1,
11,671.324000,1,42.500,-1.500,orange,-1,,,,,1,
11,671.324000,2,42.500,-0.500,orange,-1,,,,,1,
11,671.324000,3,42.500,0.500,orange,-1,,,,,1,
11,671.324000,4,42.500,1.500,orange,-1,,,,,1,
11,671.324000,5,37.500,1.500,orange,-1,,,,,1,
12,671.334000,0,37.500,-1.500,orange,-1,,,,,1,
12,671.334000,1,42.500,-1.500,orange,-1,,,,,1,
12,671.334000,2,42.500,-0.500,orange,-1,,,,,1,
12,671.334000,3,42.500,0.500,orange,-1,,,,,1,
12,671.334000,4,42.500,1.500,orange,-1,,,,,1,
12,671.334000,5,37.500,1.500,orange,-1,,,,,1,
13,671.344000,0,37.500,-1.500,orange,-1,,,,,1,
13,671.344000,1,42.500,-1.500,orange,-1,,,,,1,
13,671.344000,2,42.500,-0.500,orange,-1,,,,,1,
13,671.344000,3,42.500,0.500,orange,-1,,,,,1,
13,671.344000,4,42.500,1.500,orange,-1,,,,,1,
13,671.344000,5,37.500,1.500,orange,-1,,,,,1,
14,671.354000,0,37.500,-1.500,orange,-1,,,,,1,
14,671.354000,1,42.500,-1.500,orange,-1,,,,,1,
14,671.354000,2,42.500,-0.500,orange,-1,,,,,1,
14,671.354000,3,42.500,0.500,orange,-1,,,,,1,
14,671.354000,4,42.500,1.500,orange,-1,,,,,1,
14,671.354000,5,37.500,1.500,orange,-1,,,,,1,
15,671.364000,0,37.500,-1.500,orange,-1,,,,,1,
15,671.364000,1,42.500,-1.500,orange,-1,,,,,1,
15,671.364000,2,42.500,-0.500,orange,-1,,,,,1,
15,671.364000,3,42.500,0.500,orange,-1,,,,,1,
15,671.364000,4,42.500,1.500,orange,-1,,,,,1,
15,671.364000,5,37.500,1.500,orange,-1,,,,,1,
16,671.374000,0,37.500,-1.500,orange,-1,,,,,1,
16,671.374000,1,42.500,-1.500,orange,-1,,,,,1,
16,671.374000,2,42.500,-0.500,orange,-1,,,,,1,
16,671.374000,3,42.500,0.500,orange,-1,,,,,1,
16,671.374000,4,42.500,1.500,orange,-1,,,,,1,
16,671.374000,5,37.500,1.500,orange,-1,,,,,1,
17,671.384000,0,37.500,-1.500,orange,-1,,,,,1,
17,671.384000,1,42.500,-1.500,orange,-1,,,,,1,
17,671.384000,2,42.500,-0.500,orange,-1,,,,,1,
17,671.384000,3,42.500,0.500,orange,-1,,,,,1,
17,671.384000,4,42.500,1.500,orange,-1,,,,,1,
17,671.384000,5,37.500,1.500,orange,-1,,,,,1,
18,671.394000,0,37.500,-1.500,orange,-1,,,,,1,
18,671.394000,1,42.500,-1.500,orange,-1,,,,,1,
18,671.394000,2,42.500,-0.500,orange,-1,,,,,1,
18,671.394000,3,42.500,0.500,orange,-1,,,,,1,
18,671.394000,4,42.500,1.500,orange,-1,,,,,1,
18,671.394000,5,37.500,1.500,orange,-1,,,,,1,
19,671.404000,0,37.500,-1.500,orange,-1,,,,,1,
19,671.404000,1,42.500,-1.500,orange,-1,,,,,1,
19,671.404000,2,42.500,-0.500,orange,-1,,,,,1,
