frame,t,n_obs,n_cands_total,ordering_ms,jcbb_ms
0,671.214000,6,0,2,0
1,671.224000,6,0,1,0
2,671.234000,6,0,4,0
3,671.244000,6,0,3,0
4,671.254000,6,0,1,0
5,671.264000,6,0,4,0
6,671.274000,6,0,2,0
7,671.284000,6,0,3,0
8,671.294000,6,0,1,0
9,671.304000,6,0,3,0
10,671.314000,6,0,1,0
11,671.324000,6,0,2,0
12,671.334000,6,0,1,0
13,671.344000,6,0,1,0
14,671.354000,6,0,1,0
15,671.364000,6,0,4,0
16,671.374000,6,0,1,0
17,671.384000,6,0,1,0
18,671.394000,6,0,2,0
19,671.404000,6,0,4,0
20,671.414000,6,0,2,0
21,671.424000,6,0,2,0
22,671.434000,6,0,3,0
23,671.444000,6,0,2,0
24,671.454000,6,0,1,0
25,671.464000,6,0,2,0
26,671.474000,6,0,1,0
27,671.484000,6,0,2,0
28,671.494000,6,0,2,0
29,671.504000,6,0,1,0
30,671.514000,6,0,1,0
31,671.524000,6,0,1,0
32,671.534000,6,0,2,0
33,671.544000,6,0,1,0
34,671.554000,6,0,2,0
35,671.564000,6,0,1,0
36,671.574000,6,0,1,0
37,671.584000,6,0,1,0
38,671.594000,6,0,4,0
39,671.604000,6,0,1,0
40,671.614000,6,0,4,0
41,671.624000,6,0,1,0
42,671.634000,6,0,1,0
43,671.644000,6,0,2,0
44,671.654000,6,0,1,0
45,671.664000,6,0,1,0
46,671.674000,6,0,2,0
47,671.684000,6,0,1,0
48,671.694000,6,0,1,0
49,671.704000,6,0,2,0
50,671.714000,6,0,1,0
51,671.724000,6,0,1,0
52,671.734000,6,0,2,0
53,671.744000,6,0,2,0
54,671.754000,6,0,4,0
55,671.764000,6,0,2,0
56,671.774000,6,0,2,0
57,671.784000,6,0,2,0
58,671.794000,6,0,1,0
59,671.804000,6,0,2,0
60,671.814000,6,0,1,0
61,671.824000,6,0,1,0
62,671.834000,6,0,1,0
63,671.844000,6,0,1,0
64,671.854000,6,0,2,0
65,671.864000,6,0,2,0
66,671.874000,6,0,1,0
67,671.884000,6,0,2,0
68,671.894000,6,0,1,0
69,671.904000,6,0,1,0
70,671.914000,6,0,3,0
71,671.924000,6,0,1,0
72,671.934000,6,0,2,0
73,671.944000,6,0,3,0
74,671.954000,6,0,3,0
75,671.964000,6,0,2,0
76,671.974000,6,0,2,0
77,671.984000,6,0,3,0
78,671.994000,6,0,5,0
79,672.004000,6,0,1,0
80,672.014000,6,0,2,0
81,672.024000,6,0,1,0
82,672.034000,6,0,2,0
83,672.044000,6,0,3,0
84,672.054000,6,0,2,0
85,672.064000,6,0,1,0
86,672.074000,6,0,1,0
87,672.084000,6,0,4,0
88,672.094000,6,0,3,0
89,672.104000,6,0,2,0
90,672.114000,6,0,1,0
91,672.124000,6,0,2,0
92,672.134000,6,0,1,0
93,672.144000,6,0,2,0
94,672.154000,6,0,1,0
95,672.164000,6,0,2,0
96,672.174000,6,0,1,0
97,672.184000,6,0,2,0
98,672.194000,6,0,2,0
99,672.204000,6,0,2,0
100,672.214000,6,0,3,0
101,672.224000,6,0,5,0
102,672.234000,6,0,1,0
103,672.244000,6,0,4,0
104,672.254000,6,0,1,0
105,672.264000,6,0,2,0
106,672.274000,6,0,1,0
107,672.284000,6,0,1,0
108,672.294000,6,0,1,0
109,672.304000,6,0,1,0
110,672.314000,6,0,3,0
111,672.324000,6,0,4,0
112,672.334000,6,0,1,0
113,672.344000,6,0,2,0
114,672.354000,6,0,1,0
115,672.364000,6,0,3,0
116,672.374000,6,0,2,0
117,672.384000,6,0,2,0
118,672.394000,6,0,2,0
119,672.404000,6,0,3,0
120,672.414000,6,0,3,0
121,672.424000,6,0,3,0
