t,predict_ms,update_ms
41.049000,20.00,328.36
41.131000,20.00,311.88
41.268000,20.00,318.58
41.366000,20.00,329.56
41.468000,20.00,342.91
41.573000,20.00,333.99
41.670000,20.00,317.52
41.770000,20.00,322.49
41.819000,20.00,330.98
41.870000,20.00,295.58
41.966000,20.00,316.10
42.068000,20.00,285.24
42.160000,20.00,281.00
42.170000,10.00,294.34
42.272000,20.00,286.57
42.331000,20.00,303.78
42.369000,20.00,322.84
42.468000,20.00,325.90
42.569000,20.00,305.59
42.707000,20.00,321.41
42.868000,20.00,284.70
42.969000,20.00,316.34
43.067000,20.00,316.75
43.174000,20.00,292.11
43.175000,1.00,285.63
43.268000,20.00,305.99
43.371000,20.00,329.39
43.372000,1.00,307.12
43.485000,20.00,293.09
43.643000,20.00,294.70
43.773000,20.00,310.78
43.868000,20.00,333.55
43.912000,20.00,308.33
43.972000,20.00,346.31
44.069000,20.00,323.35
44.102000,20.00,305.75
44.205000,20.00,320.34
44.274000,20.00,305.15
44.393000,20.00,318.46
44.550000,20.00,317.33
44.655000,20.00,352.90
44.771000,20.00,336.87
44.868000,20.00,345.71
44.937000,20.00,333.79
45.068000,20.00,354.33
45.085000,17.00,360.60
45.252000,20.00,322.34
45.340000,20.00,337.72
45.468000,20.00,342.39
45.573000,20.00,361.40
45.671000,20.00,388.23
45.729000,20.00,367.22
45.768000,20.00,376.88
45.889000,20.00,355.78
46.051000,20.00,345.49
46.170000,20.00,393.68
46.270000,20.00,349.61
46.370000,20.00,382.27
46.470000,20.00,373.65
46.506000,20.00,344.14
46.664000,20.00,336.77
46.769000,20.00,393.84
46.910000,20.00,399.80
47.069000,20.00,446.63
47.168000,20.00,407.92
47.269000,20.00,421.67
47.370000,20.00,371.61
47.566000,20.00,457.72
47.668000,20.00,429.69
47.797000,20.00,432.84
47.869000,20.00,414.51
47.969000,20.00,429.14
48.115000,20.00,427.83
48.269000,20.00,443.62
48.379000,20.00,436.21
48.478000,20.00,453.38
48.601000,20.00,441.71
48.699000,20.00,465.68
48.870000,20.00,443.47
48.970000,20.00,449.69
49.071000,20.00,438.65
49.170000,20.00,456.89
49.268000,20.00,481.92
49.370000,20.00,454.01
49.570000,20.00,435.98
49.700000,20.00,457.37
49.804000,20.00,463.61
49.905000,20.00,453.27
50.017000,20.00,417.18
50.169000,20.00,425.25
50.272000,20.00,444.98
50.468000,20.00,387.12
50.571000,20.00,402.74
50.670000,20.00,404.64
50.770000,20.00,415.97
50.870000,20.00,373.03
50.967000,20.00,341.75
51.065000,20.00,346.64
51.171000,20.00,358.58
51.343000,20.00,353.72
51.469000,20.00,339.98
51.568000,20.00,354.96
51.671000,20.00,353.37
51.773000,20.00,360.84
51.869000,20.00,402.61
51.974000,20.00,380.35
52.068000,20.00,439.54
52.167000,20.00,471.69
52.374000,20.00,468.25
52.469000,20.00,435.59
52.570000,20.00,454.82
52.673000,20.00,453.79
52.826000,20.00,442.59
52.969000,20.00,422.22
53.171000,20.00,454.86
53.271000,20.00,453.72
