t,ex,ey,eyaw
8.925000,0.004,-0.000,0.00107
9.066000,0.003,-0.000,0.00068
9.266000,0.003,-0.000,-0.00082
9.466000,0.002,-0.000,-0.00154
9.668000,0.002,-0.000,-0.00204
9.804000,0.001,-0.000,-0.00203
9.973000,0.001,-0.000,-0.00123
10.169000,0.000,-0.000,-0.00203
10.421000,-0.000,-0.000,-0.00140
10.571000,-0.001,-0.000,0.00026
10.826000,-0.001,-0.000,0.00081
11.067000,-0.002,-0.000,-0.00230
11.266000,-0.002,-0.000,0.00176
11.471000,-0.003,-0.000,0.00078
11.687000,-0.003,-0.000,0.00152
11.966000,-0.004,-0.000,0.00045
12.167000,-0.004,-0.000,0.00064
12.365000,-0.005,-0.000,0.00156
12.566000,-0.005,-0.000,0.00045
12.678000,-0.006,-0.000,0.00062
12.874000,-0.006,-0.000,0.00168
13.167000,-0.007,-0.000,0.00105
13.372000,-0.007,-0.000,0.00106
13.571000,-0.008,-0.000,0.00309
13.772000,-0.008,-0.000,0.00319
14.066000,-0.009,-0.000,-0.00076
14.268000,-0.010,-0.000,0.00113
14.469000,-0.010,-0.000,-0.00172
14.663000,-0.011,-0.000,-0.00168
14.868000,-0.011,-0.000,-0.00290
15.069000,-0.012,-0.000,-0.00361
15.369000,-0.012,-0.000,-0.00371
15.570000,-0.013,-0.000,-0.00338
15.769000,-0.013,-0.000,-0.00185
16.065000,-0.014,-0.000,-0.00106
16.266000,-0.014,-0.000,-0.00080
16.467000,-0.015,-0.000,-0.00069
16.660000,-0.015,-0.000,-0.00339
16.863000,-0.016,-0.000,-0.00236
17.066000,-0.016,-0.000,-0.00483
17.266000,-0.017,-0.000,-0.00427
17.444000,-0.017,-0.000,-0.00437
17.670000,-0.018,-0.000,-0.00306
17.890000,-0.018,-0.000,-0.00310
18.135000,-0.019,-0.000,-0.00561
18.357000,-0.019,-0.000,-0.00715
18.562000,-0.020,-0.000,-0.00661
18.770000,-0.020,-0.000,-0.00431
18.967000,-0.021,-0.000,-0.00163
19.264000,-0.021,-0.000,-0.00196
19.429000,-0.022,-0.000,-0.00145
19.565000,-0.022,-0.000,-0.00159
19.805000,-0.019,-0.000,-0.00060
20.114000,0.007,-0.000,-0.00151
20.367000,0.047,-0.000,-0.00091
20.570000,0.091,-0.000,-0.00110
20.767000,0.144,-0.000,0.00026
21.050000,0.241,-0.000,0.00251
21.270000,0.331,-0.000,0.00161
21.465000,0.424,-0.000,-0.00070
21.721000,0.558,-0.000,0.00020
21.965000,0.710,-0.000,0.00088
22.169000,0.842,-0.000,0.00390
22.370000,0.986,-0.000,0.00406
22.541000,1.115,-0.000,0.00342
22.671000,1.216,-0.000,0.00165
22.770000,1.299,-0.000,0.00361
22.868000,1.375,0.000,0.00239
22.967000,1.458,0.000,0.00373
23.168000,1.646,0.000,0.00534
23.269000,1.737,0.000,0.00457
