t,x,y,yaw
8.925000,0.000,0.000,0.00000
9.066000,0.000,0.000,0.00000
9.266000,0.000,0.000,0.00000
9.466000,0.000,0.000,0.00000
9.668000,0.000,0.000,0.00000
9.804000,0.000,0.000,0.00000
9.973000,0.000,0.000,0.00000
10.169000,0.000,0.000,0.00000
10.421000,0.000,0.000,0.00000
10.571000,0.000,0.000,0.00000
10.826000,0.000,0.000,0.00000
11.067000,0.000,0.000,0.00000
11.266000,0.000,0.000,0.00000
11.471000,0.000,0.000,0.00000
11.687000,0.000,0.000,0.00000
11.966000,0.000,0.000,0.00000
12.167000,0.000,0.000,0.00000
12.365000,0.000,0.000,0.00000
12.566000,0.000,0.000,0.00000
12.678000,0.000,0.000,0.00000
12.874000,0.000,0.000,0.00000
13.167000,0.000,0.000,0.00000
13.372000,0.000,0.000,0.00000
13.571000,0.000,0.000,0.00000
13.772000,0.000,0.000,0.00000
14.066000,0.000,0.000,0.00000
14.268000,0.000,0.000,0.00000
14.469000,0.000,0.000,0.00000
14.663000,0.000,0.000,0.00000
14.868000,0.000,0.000,0.00000
15.069000,0.000,0.000,0.00000
15.369000,0.000,0.000,0.00000
15.570000,0.000,0.000,0.00000
15.769000,0.000,0.000,0.00000
16.065000,0.000,0.000,0.00000
16.266000,0.000,0.000,0.00000
16.467000,0.000,0.000,0.00000
16.660000,0.000,0.000,0.00000
16.863000,0.000,0.000,0.00000
17.066000,0.000,0.000,0.00000
17.266000,0.000,0.000,0.00000
17.444000,0.000,0.000,0.00000
17.670000,0.000,0.000,0.00000
17.890000,0.000,0.000,0.00000
18.135000,0.000,0.000,0.00000
18.357000,0.000,0.000,0.00000
18.562000,0.000,0.000,0.00000
18.770000,0.000,0.000,0.00000
18.967000,0.000,0.000,0.00000
19.264000,0.000,0.000,0.00000
19.429000,0.000,0.000,0.00000
19.565000,0.000,0.000,0.00000
19.805000,0.004,0.000,0.00000
20.114000,0.031,0.000,0.00000
20.367000,0.072,0.000,0.00000
20.570000,0.119,0.000,0.00000
20.767000,0.175,0.000,0.00000
21.050000,0.277,0.000,0.00000
21.270000,0.373,0.000,0.00000
21.465000,0.474,0.000,0.00000
21.721000,0.616,0.000,0.00000
21.965000,0.777,0.000,0.00000
22.169000,0.920,0.000,0.00000
22.370000,1.074,0.000,0.00000
22.541000,1.215,0.000,0.00000
22.671000,1.328,0.000,0.00000
22.770000,1.424,0.000,0.00000
22.868000,1.513,0.000,0.00000
22.967000,1.610,0.000,0.00000
23.168000,1.812,0.000,0.00000
23.269000,1.918,0.000,0.00000
23.469000,2.138,0.000,0.00000
23.534000,2.212,0.000,0.00000
23.665000,2.370,0.000,0.00000
23.772000,2.497,0.000,0.00000
23.867000,2.614,0.000,0.00000
24.065000,2.870,0.000,0.00000
24.166000,2.996,0.000,0.00000
24.367000,3.276,0.000,0.00000
24.469000,3.417,0.000,0.00000
24.567000,3.561,0.000,0.00000
24.702000,3.761,0.000,0.00000
24.867000,4.011,0.000,0.00000
24.988000,4.199,0.000,0.00000
25.109000,4.390,0.000,0.00000
25.254000,4.628,0.000,0.00000
25.366000,4.820,0.000,0.00000
25.483000,5.016,0.000,0.00000
25.665000,5.340,0.000,0.00000
25.771000,5.519,0.000,0.00000
25.869000,5.701,0.000,0.00000
25.942000,5.840,0.000,0.00000
26.022000,5.989,0.000,0.00000
26.148000,6.226,0.000,0.00000
26.290000,6.497,0.000,0.00000
