t,x,y,yaw,v
8.925000,-0.004,0.000,-0.00107,0.006
9.066000,-0.003,0.000,-0.00068,0.026
9.266000,-0.003,0.000,0.00082,0.027
9.466000,-0.002,0.000,0.00154,0.023
9.668000,-0.002,0.000,0.00204,0.025
9.804000,-0.001,0.000,0.00203,0.026
9.973000,-0.001,0.000,0.00123,0.026
10.169000,-0.000,0.000,0.00203,0.026
10.421000,0.000,0.000,0.00140,0.026
10.571000,0.001,0.000,-0.00026,0.026
10.826000,0.001,0.000,-0.00081,0.024
11.067000,0.002,0.000,0.00230,0.025
11.266000,0.002,0.000,-0.00176,0.024
11.471000,0.003,0.000,-0.00078,0.026
11.687000,0.003,0.000,-0.00152,0.025
11.966000,0.004,0.000,-0.00045,0.025
12.167000,0.004,0.000,-0.00064,0.024
12.365000,0.005,0.000,-0.00156,0.025
12.566000,0.005,0.000,-0.00045,0.025
12.678000,0.006,0.000,-0.00062,0.025
12.874000,0.006,0.000,-0.00168,0.026
13.167000,0.007,0.000,-0.00105,0.026
13.372000,0.007,0.000,-0.00106,0.026
13.571000,0.008,0.000,-0.00309,0.026
13.772000,0.008,0.000,-0.00319,0.026
14.066000,0.009,0.000,0.00076,0.026
14.268000,0.010,0.000,-0.00113,0.027
14.469000,0.010,0.000,0.00172,0.026
14.663000,0.011,0.000,0.00168,0.025
14.868000,0.011,0.000,0.00290,0.026
15.069000,0.012,0.000,0.00361,0.028
15.369000,0.012,0.000,0.00371,0.024
15.570000,0.013,0.000,0.00338,0.023
15.769000,0.013,0.000,0.00185,0.025
16.065000,0.014,0.000,0.00106,0.026
16.266000,0.014,0.000,0.00080,0.025
16.467000,0.015,0.000,0.00069,0.024
16.660000,0.015,0.000,0.00339,0.027
16.863000,0.016,0.000,0.00236,0.025
17.066000,0.016,0.000,0.00483,0.027
17.266000,0.017,0.000,0.00427,0.026
17.444000,0.017,0.000,0.00437,0.025
17.670000,0.018,0.000,0.00306,0.025
17.890000,0.018,0.000,0.00310,0.024
18.135000,0.019,0.000,0.00561,0.026
18.357000,0.019,0.000,0.00715,0.025
18.562000,0.020,0.000,0.00661,0.025
18.770000,0.020,0.000,0.00431,0.025
18.967000,0.021,0.000,0.00163,0.026
19.264000,0.021,0.000,0.00196,0.028
19.429000,0.022,0.000,0.00145,0.025
19.565000,0.022,0.000,0.00159,0.026
19.805000,0.023,0.000,0.00060,0.027
20.114000,0.023,0.000,0.00151,0.026
20.367000,0.025,0.000,0.00091,0.092
20.570000,0.028,0.000,0.00110,0.142
20.767000,0.031,0.000,-0.00026,0.171
21.050000,0.036,0.000,-0.00251,0.245
21.270000,0.042,0.000,-0.00161,0.306
21.465000,0.049,0.000,0.00070,0.352
21.721000,0.058,0.000,-0.00020,0.418
21.965000,0.067,0.000,-0.00088,0.463
22.169000,0.077,0.000,-0.00390,0.508
22.370000,0.088,0.000,-0.00406,0.552
22.541000,0.100,0.000,-0.00342,0.571
22.671000,0.112,0.000,-0.00165,0.613
22.770000,0.125,0.000,-0.00361,0.635
22.868000,0.138,-0.000,-0.00239,0.667
22.967000,0.151,-0.000,-0.00373,0.678
23.168000,0.166,-0.000,-0.00534,0.724
23.269000,0.181,-0.000,-0.00457,0.752
23.469000,0.197,-0.000,-0.00283,0.790
23.534000,0.213,-0.000,-0.00269,0.815
23.665000,0.230,-0.001,-0.00340,0.839
23.772000,0.247,-0.001,-0.00033,0.853
23.867000,0.264,-0.001,0.00332,0.870
24.065000,0.282,-0.001,0.00354,0.892
24.166000,0.301,-0.001,0.00051,0.932
24.367000,0.320,-0.001,0.00258,0.963
24.469000,0.340,-0.001,0.00195,1.004
24.567000,0.361,-0.001,0.00174,1.033
24.702000,0.382,-0.001,0.00239,1.046
24.867000,0.403,-0.001,0.00143,1.089
24.988000,0.425,-0.001,0.00152,1.100
25.109000,0.448,-0.001,0.00330,1.128
25.254000,0.471,-0.001,0.00272,1.163
25.366000,0.495,-0.001,0.00138,1.198
