t,matches,dropped,mean_mahal,p95_mahal,match_frac,N
8.925000,0,18,0.000,0.000,0.00,1200
9.066000,0,18,0.000,0.000,0.00,1200
9.266000,0,18,0.000,0.000,0.00,1200
9.466000,0,18,0.000,0.000,0.00,1200
9.668000,0,18,0.000,0.000,0.00,1200
9.804000,0,18,0.000,0.000,0.00,1200
9.973000,0,18,0.000,0.000,0.00,1200
10.169000,0,18,0.000,0.000,0.00,1200
10.421000,0,18,0.000,0.000,0.00,1200
10.571000,0,18,0.000,0.000,0.00,1200
10.826000,0,18,0.000,0.000,0.00,1200
11.067000,0,18,0.000,0.000,0.00,1200
11.266000,0,18,0.000,0.000,0.00,1200
11.471000,0,18,0.000,0.000,0.00,1200
11.687000,0,18,0.000,0.000,0.00,1200
11.966000,0,18,0.000,0.000,0.00,1200
12.167000,0,18,0.000,0.000,0.00,1200
12.365000,0,18,0.000,0.000,0.00,1200
12.566000,0,18,0.000,0.000,0.00,1200
12.678000,0,18,0.000,0.000,0.00,1200
12.874000,0,18,0.000,0.000,0.00,1200
13.167000,0,18,0.000,0.000,0.00,1200
13.372000,0,18,0.000,0.000,0.00,1200
13.571000,0,18,0.000,0.000,0.00,1200
13.772000,0,18,0.000,0.000,0.00,1200
14.066000,0,18,0.000,0.000,0.00,1200
14.268000,0,18,0.000,0.000,0.00,1200
14.469000,0,18,0.000,0.000,0.00,1200
14.663000,0,18,0.000,0.000,0.00,1200
14.868000,0,18,0.000,0.000,0.00,1200
15.069000,0,18,0.000,0.000,0.00,1200
15.369000,0,18,0.000,0.000,0.00,1200
15.570000,0,18,0.000,0.000,0.00,1200
15.769000,0,18,0.000,0.000,0.00,1200
16.065000,0,18,0.000,0.000,0.00,1200
16.266000,0,18,0.000,0.000,0.00,1200
16.467000,0,18,0.000,0.000,0.00,1200
16.660000,0,18,0.000,0.000,0.00,1200
16.863000,0,18,0.000,0.000,0.00,1200
17.066000,0,18,0.000,0.000,0.00,1200
17.266000,0,18,0.000,0.000,0.00,1200
17.444000,0,18,0.000,0.000,0.00,1200
17.670000,0,18,0.000,0.000,0.00,1200
17.890000,0,18,0.000,0.000,0.00,1200
18.135000,0,18,0.000,0.000,0.00,1200
18.357000,0,18,0.000,0.000,0.00,1200
18.562000,0,18,0.000,0.000,0.00,1200
18.770000,0,18,0.000,0.000,0.00,1200
18.967000,0,18,0.000,0.000,0.00,1200
19.264000,0,18,0.000,0.000,0.00,1200
19.429000,0,18,0.000,0.000,0.00,1200
19.565000,0,18,0.000,0.000,0.00,1200
19.805000,0,18,0.000,0.000,0.00,1200
20.114000,0,18,0.000,0.000,0.00,1200
20.367000,0,18,0.000,0.000,0.00,1200
20.570000,0,18,0.000,0.000,0.00,1200
20.767000,0,18,0.000,0.000,0.00,1200
21.050000,0,18,0.000,0.000,0.00,1200
21.270000,0,18,0.000,0.000,0.00,1200
21.465000,0,18,0.000,0.000,0.00,1200
21.721000,0,18,0.000,0.000,0.00,1200
21.965000,0,18,0.000,0.000,0.00,1200
22.169000,0,18,0.000,0.000,0.00,1200
22.370000,0,18,0.000,0.000,0.00,1200
22.541000,0,18,0.000,0.000,0.00,1200
22.671000,0,18,0.000,0.000,0.00,1200
22.770000,0,18,0.000,0.000,0.00,1200
22.868000,0,18,0.000,0.000,0.00,1200
22.967000,0,20,0.000,0.000,0.00,1200
23.168000,0,16,0.000,0.000,0.00,1200
23.269000,0,16,0.000,0.000,0.00,1200
23.469000,0,16,0.000,0.000,0.00,1200
23.534000,0,16,0.000,0.000,0.00,1200
23.665000,0,16,0.000,0.000,0.00,1200
23.772000,0,16,0.000,0.000,0.00,1200
23.867000,0,16,0.000,0.000,0.00,1200
24.065000,0,18,0.000,0.000,0.00,1200
24.166000,0,18,0.000,0.000,0.00,1200
24.367000,0,18,0.000,0.000,0.00,1200
24.469000,0,18,0.000,0.000,0.00,1200
24.567000,0,16,0.000,0.000,0.00,1200
24.702000,0,16,0.000,0.000,0.00,1200
24.867000,0,16,0.000,0.000,0.00,1200
24.988000,0,16,0.000,0.000,0.00,1200
