frame,t,n_obs,n_cands_total,ordering_ms,jcbb_ms
0,17.525000,18,12,7,223
1,17.535000,18,12,5,196
2,17.545000,18,12,5,219
3,17.555000,18,12,13,244
4,17.565000,18,12,7,232
5,17.575000,18,12,16,254
6,17.585000,18,12,6,253
7,17.595000,18,12,5,195
8,17.605000,18,12,7,205
9,17.615000,18,12,13,200
10,17.625000,18,12,6,202
11,17.635000,18,12,6,218
12,17.645000,18,12,5,246
13,17.655000,18,12,12,210
14,17.665000,18,12,4,195
15,17.675000,18,12,14,206
16,17.685000,18,12,5,222
17,17.695000,18,12,9,237
18,17.705000,18,12,7,200
19,17.725000,18,12,6,219
20,17.735000,18,12,5,203
21,17.745000,18,12,4,249
22,17.835000,18,12,4,263
23,17.845000,18,12,5,215
24,17.855000,18,12,12,265
25,17.925000,18,12,6,230
26,17.935000,18,12,16,264
27,17.985000,18,12,12,202
28,18.025000,18,12,14,193
29,18.035000,18,12,8,209
30,18.085000,18,12,5,200
31,18.125000,18,12,5,194
32,18.135000,18,12,5,202
33,18.145000,18,12,5,195
34,18.225000,18,12,6,241
35,18.235000,18,12,8,212
36,18.265000,18,12,5,235
37,18.325000,18,12,10,214
38,18.335000,18,12,5,211
39,18.345000,18,12,7,206
40,18.425000,18,12,5,179
41,18.435000,18,12,8,175
42,18.445000,18,12,10,234
43,18.525000,18,12,5,224
44,18.535000,18,12,6,220
45,18.605000,18,12,12,215
46,18.625000,18,12,7,221
47,18.635000,18,12,7,213
48,18.675000,18,12,8,236
49,18.725000,18,12,5,213
50,18.735000,18,12,5,252
51,18.785000,18,12,9,244
52,18.825000,18,12,8,263
53,18.835000,18,12,11,189
54,18.925000,18,12,8,211
55,18.935000,18,12,12,230
56,18.945000,18,12,10,228
57,19.025000,18,12,5,220
58,19.035000,18,12,5,182
59,19.045000,18,12,4,224
60,19.125000,18,12,8,190
61,19.135000,18,12,5,183
62,19.155000,18,12,5,208
63,19.225000,18,12,5,228
64,19.235000,18,12,4,191
65,19.325000,18,12,5,193
66,19.425000,18,12,5,187
67,19.435000,18,12,5,181
68,19.525000,18,12,8,205
69,19.625000,18,12,12,182
70,19.675000,18,12,4,173
71,19.745000,18,12,5,181
72,19.825000,18,12,7,196
73,19.855000,18,12,7,208
74,19.925000,18,12,5,212
75,19.935000,18,12,7,200
76,20.025000,18,12,5,191
77,20.125000,18,12,7,167
78,20.135000,18,12,5,206
79,20.225000,18,12,7,174
80,20.315000,18,12,5,176
81,20.415000,18,12,6,215
82,20.425000,18,12,5,194
83,20.445000,18,12,7,222
84,20.525000,18,12,6,175
85,20.535000,18,12,4,182
86,20.615000,18,12,8,206
87,20.725000,18,12,6,246
88,20.735000,18,12,5,225
89,20.825000,18,12,5,192
90,20.915000,18,12,5,177
91,20.925000,18,12,4,188
92,20.935000,18,12,11,240
93,21.025000,18,12,13,216
94,21.125000,18,12,14,169
95,21.185000,18,12,6,180
96,21.245000,18,12,5,196
97,21.335000,18,12,8,174
98,21.425000,18,12,5,183
99,21.525000,18,12,5,196
100,21.535000,18,12,12,194
101,21.625000,18,12,5,197
102,21.635000,18,12,6,200
103,21.695000,18,12,5,212
104,21.725000,18,12,5,199
105,21.815000,18,12,5,179
106,21.875000,18,12,5,211
107,21.925000,18,12,4,183
108,22.025000,18,12,5,211
109,22.035000,18,12,8,194
110,22.125000,18,12,5,211
111,22.225000,18,12,14,180
112,22.235000,18,12,7,189
113,22.325000,18,12,10,202
114,22.335000,18,12,6,216
115,22.425000,18,12,5,191
116,22.435000,18,12,7,205
117,22.525000,18,12,6,236
118,22.555000,18,12,10,197
119,22.625000,18,12,4,188
120,22.635000,18,12,4,203
121,22.685000,18,12,6,218
122,22.725000,18,12,4,204
123,22.735000,18,12,4,217
124,22.825000,18,12,8,180
125,22.835000,18,12,4,200
126,22.925000,18,12,4,199
127,22.935000,18,12,7,197
128,23.025000,18,12,11,198
129,23.035000,18,12,13,179
130,23.115000,18,12,4,208
131,23.225000,18,12,4,225
132,23.235000,18,12,4,228
133,23.325000,18,12,15,224
134,23.335000,18,12,9,232
135,23.425000,18,12,10,207
136,23.435000,18,12,12,209
137,23.525000,18,12,5,192
138,23.615000,18,12,11,192
139,23.665000,18,12,6,171
140,23.725000,18,12,5,163
141,23.815000,18,12,5,158
142,23.845000,18,12,5,190
143,23.925000,18,12,6,181
144,24.025000,18,12,5,191
145,24.125000,18,12,5,190
146,24.135000,18,12,9,187
147,24.225000,18,12,5,170
148,24.325000,18,12,5,202
149,24.395000,18,12,5,209
150,24.475000,18,12,6,175
151,24.515000,18,12,6,189
152,24.615000,18,12,13,209
153,24.715000,18,12,4,186
154,24.725000,18,12,12,195
155,24.785000,18,12,5,179
156,24.825000,18,12,5,180
157,24.925000,18,12,5,187
158,25.015000,18,12,8,196
159,25.025000,18,12,9,227
160,25.125000,18,12,6,192
161,25.135000,18,12,4,154
162,25.165000,18,12,6,225
163,25.255000,18,12,5,216
164,25.325000,18,12,5,222
165,25.395000,18,12,8,171
166,25.425000,18,12,5,185
167,25.525000,18,12,4,190
168,25.625000,18,12,5,195
169,25.635000,18,12,11,184
170,25.675000,18,12,5,171
171,25.725000,18,12,4,188
172,25.825000,18,12,4,184
173,25.835000,18,12,12,210
174,25.925000,18,12,7,188
175,25.995000,18,12,13,215
176,26.105000,18,12,15,194
177,26.125000,18,12,5,196
178,26.225000,18,12,7,159
179,26.255000,18,12,5,197
180,26.315000,18,12,5,175
181,26.365000,18,12,4,172
182,26.425000,18,12,5,210
183,26.515000,18,12,6,189
184,26.625000,18,12,6,177
185,26.635000,18,12,5,192
186,26.685000,18,12,7,198
187,26.765000,18,12,8,223
188,26.815000,18,12,7,178
189,26.925000,18,12,4,183
190,26.975000,18,12,6,167
191,27.025000,18,12,5,167
192,27.125000,18,12,5,197
193,27.225000,18,12,4,221
194,27.235000,18,12,4,199
195,27.325000,18,14,8,902
196,27.625000,16,12,12,206
197,27.635000,16,12,8,212
198,27.645000,16,12,5,176
199,27.725000,16,12,5,202
200,27.825000,16,12,11,186
201,27.835000,16,12,15,172
202,27.925000,16,12,5,179
203,28.025000,16,12,5,174
204,28.035000,16,12,5,177
205,28.115000,18,14,9,848
206,28.425000,18,14,6,868
207,28.645000,16,12,7,190
208,28.715000,16,12,6,210
209,28.725000,16,12,6,186
210,28.815000,16,12,6,210
211,28.825000,16,12,7,181
212,28.915000,16,12,5,203
213,28.985000,16,12,9,184
214,29.025000,16,12,5,174
215,29.125000,16,12,5,192
216,29.195000,16,12,4,189
217,29.225000,16,12,7,218
218,29.235000,16,12,11,191
219,29.325000,14,10,12,43
220,29.335000,12,10,6,47
221,29.345000,12,10,5,35
222,29.355000,12,10,5,34
223,29.365000,12,10,7,36
224,29.375000,12,10,13,41
225,29.385000,12,10,13,56
