t,matches,dropped,mean_mahal,p95_mahal,match_frac,N
478.962000,18,0,0.001,0.001,1.00,1000
479.362000,18,0,0.001,0.001,1.00,1000
479.821000,18,0,0.001,0.001,1.00,1000
480.293000,18,0,0.001,0.001,1.00,300
480.434000,18,0,0.001,0.001,1.00,300
480.591000,18,0,0.001,0.001,1.00,300
480.720000,18,0,0.001,0.001,1.00,300
480.871000,18,0,0.001,0.001,1.00,300
481.023000,18,0,0.001,0.001,1.00,300
481.169000,18,0,0.001,0.001,1.00,300
481.311000,18,0,0.001,0.001,1.00,300
481.458000,18,0,0.001,0.001,1.00,300
481.610000,18,0,0.001,0.001,1.00,300
481.748000,18,0,0.001,0.001,1.00,300
481.891000,18,0,0.001,0.001,1.00,300
482.019000,18,0,0.001,0.001,1.00,300
482.158000,18,0,0.001,0.001,1.00,300
482.284000,18,0,0.001,0.001,1.00,300
482.436000,18,0,0.001,0.001,1.00,300
482.567000,18,0,0.001,0.001,1.00,300
482.691000,18,0,0.001,0.001,1.00,300
482.848000,18,0,0.001,0.001,1.00,300
483.004000,18,0,0.001,0.001,1.00,300
483.128000,18,0,0.001,0.001,1.00,300
483.290000,18,0,0.001,0.001,1.00,300
483.444000,18,0,0.001,0.001,1.00,300
483.658000,18,0,0.001,0.001,1.00,300
483.812000,18,0,0.001,0.001,1.00,300
483.964000,18,0,0.001,0.001,1.00,300
484.146000,18,0,0.001,0.001,1.00,300
484.307000,18,0,0.001,0.001,1.00,300
484.482000,18,0,0.001,0.001,1.00,300
484.627000,18,0,0.001,0.001,1.00,300
484.781000,18,0,0.001,0.001,1.00,300
484.937000,18,0,0.001,0.001,1.00,300
485.100000,18,0,0.001,0.001,1.00,300
485.254000,18,0,0.001,0.001,1.00,300
485.420000,18,0,0.001,0.001,1.00,300
485.584000,18,0,0.001,0.001,1.00,300
485.752000,18,0,0.001,0.001,1.00,300
485.914000,18,0,0.001,0.001,1.00,300
486.056000,18,0,0.001,0.001,1.00,300
486.211000,18,0,0.001,0.001,1.00,300
486.375000,18,0,0.001,0.001,1.00,300
486.541000,18,0,0.001,0.001,1.00,300
486.695000,18,0,0.001,0.001,1.00,300
486.897000,18,0,0.001,0.001,1.00,300
487.090000,18,0,0.001,0.001,1.00,300
487.239000,18,0,0.001,0.001,1.00,300
487.377000,18,0,0.001,0.001,1.00,300
487.520000,18,0,0.001,0.001,1.00,300
487.666000,18,0,0.001,0.001,1.00,300
