t,x,y,yaw
478.962000,0.000,0.000,0.00000
479.362000,0.000,0.000,0.00000
479.821000,0.000,0.000,0.00000
480.293000,0.000,0.000,0.00000
480.434000,0.000,0.000,0.00000
480.591000,0.000,0.000,0.00000
480.720000,0.000,0.000,0.00000
480.871000,0.000,0.000,0.00000
481.023000,0.000,0.000,0.00000
481.169000,0.000,0.000,0.00000
481.311000,0.000,0.000,0.00000
481.458000,0.000,0.000,0.00000
481.610000,0.000,0.000,0.00000
481.748000,0.000,0.000,0.00000
481.891000,0.000,0.000,0.00000
482.019000,0.000,0.000,0.00000
482.158000,0.000,0.000,0.00000
482.284000,0.000,0.000,0.00000
482.436000,0.000,0.000,0.00000
482.567000,0.000,0.000,0.00000
482.691000,0.000,0.000,0.00000
482.848000,0.000,0.000,0.00000
483.004000,0.000,0.000,0.00000
483.128000,0.000,0.000,0.00000
483.290000,0.000,0.000,0.00000
483.444000,0.000,0.000,0.00000
483.658000,0.000,0.000,0.00000
483.812000,0.000,0.000,0.00000
483.964000,0.000,0.000,0.00000
484.146000,0.000,0.000,0.00000
484.307000,0.000,0.000,0.00000
484.482000,0.000,0.000,0.00000
484.627000,0.000,0.000,0.00000
484.781000,0.000,0.000,0.00000
484.937000,0.000,0.000,0.00000
485.100000,0.000,0.000,0.00000
485.254000,0.000,0.000,0.00000
485.420000,0.000,0.000,0.00000
485.584000,0.000,0.000,0.00000
485.752000,0.000,0.000,0.00000
485.914000,0.000,0.000,0.00000
486.056000,0.000,0.000,0.00000
486.211000,0.000,0.000,0.00000
486.375000,0.000,0.000,0.00000
486.541000,0.000,0.000,0.00000
486.695000,0.000,0.000,0.00000
486.897000,0.000,0.000,0.00000
487.090000,0.000,0.000,0.00000
487.239000,0.000,0.000,0.00000
487.377000,0.000,0.000,0.00000
487.520000,0.000,0.000,0.00000
487.666000,0.000,0.000,0.00000
487.819000,0.000,0.000,0.00000
487.969000,0.000,0.000,0.00000
488.128000,0.000,0.000,0.00000
488.261000,0.000,0.000,0.00000
488.408000,0.000,0.000,0.00000
488.552000,0.000,0.000,0.00000
488.703000,0.000,0.000,0.00000
488.870000,0.000,0.000,0.00000
489.014000,0.000,0.000,0.00000
489.170000,0.000,0.000,0.00000
