t,x,y,yaw,v
478.962000,0.001,-0.007,-0.00099,0.006
479.362000,0.002,-0.007,-0.00292,0.026
479.821000,0.002,-0.007,-0.00353,0.027
480.293000,0.010,0.002,-0.00441,0.026
480.434000,0.011,0.002,-0.00384,0.026
480.591000,0.011,0.002,-0.00370,0.025
480.720000,0.012,0.002,-0.00233,0.023
480.871000,0.012,0.002,-0.00341,0.026
481.023000,0.013,0.002,-0.00171,0.025
481.169000,0.013,0.002,-0.00134,0.022
481.311000,0.013,0.002,-0.00017,0.024
481.458000,0.014,0.002,-0.00184,0.021
481.610000,0.014,0.002,-0.00291,0.023
481.748000,0.015,0.002,-0.00426,0.024
481.891000,0.015,0.002,-0.00316,0.024
482.019000,0.016,0.002,-0.00181,0.029
482.158000,0.016,0.002,-0.00306,0.030
482.284000,0.017,0.002,-0.00536,0.025
482.436000,0.017,0.002,-0.00311,0.026
482.567000,0.018,0.002,-0.00315,0.025
482.691000,0.018,0.002,-0.00210,0.024
482.848000,0.019,0.002,-0.00028,0.022
483.004000,0.019,0.002,-0.00141,0.028
483.128000,0.020,0.002,-0.00277,0.023
483.290000,0.020,0.002,-0.00206,0.024
483.444000,0.021,0.002,-0.00459,0.026
483.658000,0.021,0.002,-0.00377,0.025
483.812000,0.022,0.002,-0.00193,0.027
483.964000,0.022,0.002,-0.00115,0.024
484.146000,0.023,0.002,0.00007,0.028
484.307000,0.024,0.002,0.00060,0.025
484.482000,0.024,0.002,-0.00129,0.023
484.627000,0.025,0.002,-0.00166,0.027
484.781000,0.025,0.002,-0.00395,0.023
484.937000,0.026,0.002,0.00019,0.027
485.100000,0.026,0.002,-0.00130,0.027
485.254000,0.027,0.002,0.00022,0.022
485.420000,0.027,0.002,-0.00182,0.024
485.584000,0.027,0.002,-0.00176,0.022
485.752000,0.028,0.002,-0.00057,0.026
485.914000,0.028,0.002,0.00010,0.025
486.056000,0.029,0.002,-0.00036,0.025
486.211000,0.029,0.002,-0.00061,0.024
486.375000,0.030,0.002,-0.00196,0.025
486.541000,0.030,0.002,-0.00163,0.024
486.695000,0.031,0.002,0.00093,0.027
486.897000,0.031,0.002,0.00184,0.024
487.090000,0.032,0.002,0.00259,0.026
487.239000,0.032,0.002,0.00280,0.023
487.377000,0.033,0.002,0.00079,0.023
487.520000,0.033,0.002,-0.00008,0.022
487.666000,0.034,0.002,-0.00020,0.027
487.819000,0.034,0.002,-0.00008,0.026
487.969000,0.035,0.002,-0.00008,0.025
488.128000,0.035,0.002,0.00174,0.026
488.261000,0.036,0.002,0.00390,0.026
488.408000,0.036,0.002,0.00539,0.025
488.552000,0.037,0.002,0.00451,0.021
488.703000,0.037,0.002,0.00473,0.026
488.870000,0.038,0.002,0.00437,0.027
489.014000,0.039,0.002,0.00447,0.030
489.170000,0.039,0.002,0.00353,0.029
489.323000,0.039,0.002,0.00783,0.021
489.464000,0.040,0.002,0.00736,0.026
489.622000,0.040,0.002,0.00913,0.023
489.764000,0.041,0.002,0.00638,0.024
489.914000,0.041,0.002,0.00696,0.026
490.063000,0.042,0.002,0.00599,0.027
490.217000,0.042,0.002,0.00666,0.024
490.362000,0.043,0.002,0.00709,0.025
490.526000,0.045,0.002,0.00770,0.109
490.672000,0.050,0.002,0.00812,0.224
490.817000,0.056,0.002,0.01000,0.314
490.950000,0.064,0.002,0.01130,0.390
491.093000,0.073,0.002,0.00937,0.471
491.249000,0.084,0.003,0.00837,0.539
491.401000,0.096,0.003,0.00705,0.621
491.546000,0.111,0.003,0.00448,0.712
491.677000,0.127,0.003,0.00217,0.799
491.833000,0.145,0.003,0.00172,0.909
491.986000,0.164,0.003,0.00065,0.984
492.134000,0.186,0.003,0.00287,1.061
492.287000,0.208,0.003,-0.00035,1.132
492.429000,0.232,0.003,0.00170,1.208
492.578000,0.258,0.003,0.00136,1.279
492.732000,0.285,0.003,-0.00066,1.371
492.867000,0.314,0.003,0.00067,1.450
492.988000,0.345,0.003,-0.00167,1.511
493.107000,0.376,0.003,-0.00154,1.596
493.245000,0.410,0.003,-0.00093,1.679
493.382000,0.445,0.003,-0.00343,1.751
493.529000,0.482,0.003,-0.00239,1.838
493.692000,0.520,0.003,-0.00167,1.905
493.839000,0.559,0.003,-0.00012,1.988
493.972000,0.601,0.003,-0.00305,2.075
494.116000,0.644,0.003,-0.00435,2.164
494.254000,0.689,0.003,-0.00235,2.229
494.388000,0.735,0.003,-0.00200,2.312
494.482000,0.782,0.003,-0.00345,2.366
494.597000,0.831,0.003,-0.00263,2.419
494.710000,0.880,0.003,-0.00194,2.476
