t,predict_ms,update_ms
478.962000,0.26,454.96
479.362000,0.14,456.05
479.821000,0.13,475.27
480.293000,0.11,135.97
480.434000,0.09,155.36
480.591000,0.11,131.92
480.720000,0.09,148.15
480.871000,0.10,146.85
481.023000,0.09,144.96
481.169000,0.12,142.61
481.311000,0.11,146.43
481.458000,0.11,145.50
481.610000,0.09,139.72
481.748000,0.10,139.58
481.891000,0.09,131.78
482.019000,0.11,135.17
482.158000,0.09,126.84
482.284000,0.12,147.30
482.436000,0.12,134.53
482.567000,0.08,122.54
482.691000,0.14,150.93
482.848000,0.10,157.30
483.004000,0.11,122.88
483.128000,0.10,163.19
483.290000,0.11,154.40
483.444000,0.10,220.47
483.658000,0.11,155.37
483.812000,0.11,145.67
483.964000,0.09,180.16
484.146000,0.49,157.59
484.307000,0.13,172.02
484.482000,0.12,147.61
484.627000,0.11,152.19
484.781000,0.11,149.45
484.937000,0.26,162.79
485.100000,0.15,154.05
485.254000,0.12,161.01
485.420000,0.21,174.12
485.584000,0.11,157.97
485.752000,0.14,161.03
485.914000,0.10,142.08
486.056000,0.11,150.02
486.211000,0.13,163.91
486.375000,0.13,162.90
486.541000,0.12,154.99
486.695000,0.12,223.43
486.897000,0.26,176.21
487.090000,0.20,146.71
487.239000,0.11,132.76
487.377000,0.10,141.88
487.520000,0.11,149.68
487.666000,0.15,149.41
487.819000,0.11,146.60
487.969000,0.12,154.07
488.128000,0.10,138.15
488.261000,0.09,143.38
488.408000,0.12,146.40
488.552000,0.11,148.39
488.703000,0.12,162.47
488.870000,0.09,145.73
489.014000,0.14,155.61
489.170000,0.12,145.58
489.323000,0.13,143.20
489.464000,0.11,153.80
489.622000,0.12,140.94
489.764000,0.10,151.23
489.914000,0.11,143.92
490.063000,0.10,155.63
490.217000,0.10,140.26
490.362000,0.15,166.03
490.526000,0.12,144.02
490.672000,0.09,143.24
490.817000,0.11,129.01
490.950000,0.11,143.97
491.093000,0.16,158.08
491.249000,0.13,147.52
491.401000,0.13,142.38
491.546000,0.10,127.82
491.677000,0.09,155.48
491.833000,0.10,153.44
491.986000,0.09,151.70
492.134000,0.09,150.76
492.287000,0.14,140.64
492.429000,0.12,144.02
492.578000,0.13,152.79
492.732000,0.11,134.50
492.867000,0.12,118.18
492.988000,0.10,116.79
493.107000,0.13,139.05
493.245000,0.12,134.35
493.382000,0.11,147.32
493.529000,0.10,159.52
493.692000,0.11,144.90
493.839000,0.11,132.82
493.972000,0.10,140.23
494.116000,0.21,134.79
494.254000,0.10,135.53
494.388000,0.11,94.42
494.482000,0.09,113.77
494.597000,0.13,108.05
494.710000,0.10,120.43
494.825000,0.09,123.66
494.952000,0.10,104.86
495.058000,0.09,107.04
495.168000,0.11,93.42
495.261000,0.09,80.21
495.346000,0.12,74.61
495.419000,0.10,76.97
495.494000,0.11,67.32
495.569000,0.12,74.77
495.641000,0.12,84.54
495.729000,0.17,76.34
495.806000,0.10,86.84
495.897000,0.19,85.74
495.978000,0.17,100.70
496.087000,0.10,90.38
496.181000,0.10,101.36
496.280000,0.10,80.08
496.361000,0.13,77.83
496.444000,0.11,82.89
496.529000,0.10,92.78
496.624000,0.14,96.91
496.722000,0.11,99.61
496.817000,0.13,94.29
496.918000,0.12,106.66
497.026000,0.12,117.66
497.146000,0.09,115.55
497.257000,0.10,140.36
497.402000,0.12,138.45
497.545000,0.12,126.16
497.666000,0.10,121.74
497.793000,0.10,144.45
497.942000,0.11,155.73
498.095000,0.12,144.83
498.243000,0.12,121.20
498.369000,0.11,105.87
498.468000,0.11,95.69
498.533000,0.13,131.63
498.667000,0.10,123.37
498.793000,0.10,113.90
498.906000,0.10,103.14
499.015000,0.12,117.22
499.132000,0.10,122.51
499.257000,0.10,111.21
499.361000,0.11,113.60
499.480000,0.11,122.76
499.607000,0.10,95.85
499.702000,0.12,116.19
499.819000,0.10,89.93
499.914000,0.13,95.66
500.008000,0.09,99.84
500.108000,0.14,124.68
500.237000,0.10,109.50
500.349000,0.13,109.43
500.455000,0.11,118.41
500.573000,0.15,146.88
500.721000,0.11,138.65
500.866000,0.10,106.32
500.971000,0.10,100.28
501.071000,0.11,99.30
501.175000,0.11,114.05
501.291000,0.18,110.38
501.404000,0.13,130.04
501.532000,0.18,109.50
501.646000,0.10,88.41
501.736000,0.10,97.35
501.830000,0.11,88.97
501.926000,0.09,63.27
501.989000,0.12,77.27
502.062000,0.09,72.43
502.136000,0.14,79.18
502.220000,0.10,90.77
502.312000,0.10,77.07
502.392000,0.10,93.17
502.487000,0.11,88.89
502.577000,0.11,106.46
502.687000,0.12,92.64
502.778000,0.11,92.58
502.874000,0.12,89.81
502.964000,0.11,76.89
503.042000,0.13,91.59
503.138000,0.11,103.09
503.241000,0.13,111.75
503.356000,0.12,84.57
503.440000,0.11,119.20
503.563000,0.14,108.91
503.670000,0.12,130.68
503.799000,0.10,130.90
503.937000,0.11,129.12
504.066000,0.10,123.80
504.192000,0.09,107.42
504.303000,0.12,112.74
504.413000,0.12,95.64
504.510000,0.09,103.52
504.617000,0.15,114.46
504.731000,0.11,101.26
504.835000,0.13,110.09
504.947000,0.11,108.42
505.057000,0.09,117.27
505.175000,0.12,107.95
505.284000,0.09,103.63
505.385000,0.13,98.29
505.490000,0.12,108.43
505.597000,0.11,91.71
505.692000,0.10,89.13
505.782000,0.12,70.04
505.853000,0.10,79.54
505.933000,0.11,73.54
506.009000,0.11,84.73
506.088000,0.09,76.36
506.171000,0.10,78.81
506.250000,0.10,96.10
506.352000,0.13,97.83
506.450000,0.11,99.49
506.551000,0.12,106.82
506.657000,0.17,96.42
506.755000,0.12,85.28
506.841000,0.10,76.71
506.919000,0.11,89.31
507.015000,0.09,97.33
507.109000,0.11,96.87
507.208000,0.10,100.20
507.309000,0.12,90.32
507.398000,0.10,108.91
507.512000,0.14,97.23
507.608000,0.10,104.92
507.716000,0.09,155.47
507.872000,0.11,154.74
508.026000,0.10,139.27
508.168000,0.13,134.92
508.304000,0.10,119.02
508.427000,0.11,109.16
508.536000,0.13,87.61
508.625000,0.11,110.76
508.734000,0.14,101.72
508.837000,0.14,109.35
508.951000,0.09,111.08
509.059000,0.12,100.58
509.163000,0.12,122.24
509.288000,0.13,100.47
509.392000,0.12,123.36
509.516000,0.10,114.31
509.631000,0.10,113.81
509.743000,0.13,109.96
509.860000,0.11,100.93
509.959000,0.09,97.17
510.060000,0.17,112.14
510.173000,0.12,98.64
510.275000,0.11,106.83
510.381000,0.29,129.61
510.504000,0.12,104.12
510.612000,0.10,77.71
510.683000,0.12,82.26
510.773000,0.10,86.14
510.863000,0.10,81.63
510.947000,0.10,73.49
511.020000,0.09,72.31
511.094000,0.10,67.85
511.162000,0.10,62.72
511.226000,0.10,62.31
511.292000,0.11,58.59
511.350000,0.09,50.67
511.401000,0.12,35.85
511.438000,0.10,39.85
511.482000,0.12,39.78
511.520000,0.11,35.39
511.558000,0.12,39.59
511.597000,0.11,38.64
511.637000,0.11,32.96
511.670000,0.10,40.54
511.714000,0.11,35.61
511.753000,0.12,39.62
511.790000,0.13,28.69
511.816000,0.11,32.21
511.852000,0.11,32.35
511.888000,0.10,29.99
511.916000,0.13,30.60
511.948000,0.22,28.66
511.981000,0.11,27.45
512.011000,0.10,34.68
512.043000,0.12,35.19
512.082000,0.13,31.57
512.117000,0.12,30.80
512.148000,0.11,28.23
512.174000,0.12,31.06
512.205000,0.10,27.72
512.240000,0.13,32.92
512.274000,0.12,29.94
512.300000,0.11,33.77
512.334000,0.12,30.42
512.368000,0.12,33.30
512.403000,0.11,31.42
512.438000,0.10,24.89
512.466000,0.09,22.40
512.486000,0.08,25.91
512.514000,0.11,25.34
512.544000,0.10,37.22
512.581000,0.13,33.04
512.613000,0.11,29.15
512.645000,0.13,33.78
512.678000,0.12,28.77
512.707000,0.14,34.67
512.743000,0.11,30.46
512.776000,0.11,29.94
512.810000,0.12,28.67
512.839000,0.09,31.09
512.871000,0.11,27.83
512.902000,0.09,29.95
512.933000,0.11,29.72
512.965000,0.11,30.35
512.996000,0.13,22.82
513.020000,0.12,25.53
513.046000,0.13,23.32
513.072000,0.10,22.80
513.096000,0.12,25.46
513.117000,0.12,23.49
513.142000,0.10,0.01
513.143000,0.08,0.01
513.144000,0.12,0.01
513.145000,0.07,0.01
513.146000,0.07,0.00
513.147000,0.07,0.01
513.149000,0.07,0.00
513.150000,0.07,0.01
513.151000,0.06,0.00
513.152000,0.08,0.01
513.153000,0.07,0.00
513.155000,0.06,0.00
513.156000,0.06,0.00
513.157000,0.06,0.00
513.158000,0.06,0.00
513.159000,0.06,0.00
513.160000,0.06,0.00
513.161000,0.07,0.00
513.162000,0.06,0.00
513.163000,0.06,0.00
513.165000,0.06,0.00
513.166000,0.05,0.00
513.168000,0.06,0.00
513.169000,0.07,0.00
513.170000,0.06,0.00
513.171000,0.06,0.00
513.172000,0.06,0.00
513.174000,0.05,0.00
513.175000,0.10,0.01
513.176000,0.08,0.01
513.177000,0.08,0.01
513.178000,0.06,0.00
513.179000,0.06,0.00
513.180000,0.06,0.00
513.181000,0.06,0.00
513.182000,0.06,0.00
513.183000,0.06,0.00
513.184000,0.06,0.00
513.186000,0.06,0.00
513.187000,0.06,0.00
513.188000,0.06,0.00
513.189000,0.06,0.00
513.190000,0.05,0.00
513.191000,0.06,0.00
513.193000,0.06,0.00
513.194000,0.06,0.00
513.195000,0.06,0.00
513.196000,0.07,0.00
513.197000,0.14,0.01
513.198000,0.09,0.01
513.200000,0.07,0.00
513.201000,0.06,0.00
513.202000,0.06,0.00
513.203000,0.06,0.00
513.204000,0.06,0.00
513.205000,0.13,0.01
513.206000,0.08,0.01
513.207000,0.09,0.01
513.208000,0.09,0.01
513.209000,0.07,0.00
513.210000,0.06,0.00
513.211000,0.06,0.00
513.213000,0.08,0.01
513.214000,0.06,0.00
513.215000,0.06,0.00
513.216000,0.06,0.00
513.217000,0.06,0.00
513.218000,0.06,0.00
513.219000,0.06,0.00
513.220000,0.06,0.00
513.221000,0.06,0.00
513.222000,0.06,0.00
513.223000,0.05,0.00
513.225000,0.14,0.01
513.226000,0.08,0.01
513.227000,0.09,0.01
513.228000,0.10,0.01
513.230000,0.10,0.01
513.231000,0.10,0.01
513.233000,0.10,0.01
513.234000,0.07,0.01
513.235000,0.14,0.01
513.236000,0.10,0.01
513.237000,0.09,0.01
513.238000,0.07,0.01
513.239000,0.09,0.01
