frame,t,match_frac,mean_mahal_sqrt,p95_mahal_sqrt,wrong_side_rate,color_confusions,n_obs
0,480.834000,0.667,0.006,0.007,0.000,0,18
1,480.844000,0.667,0.006,0.007,0.000,0,18
2,480.854000,0.667,0.006,0.007,0.000,0,18
3,480.864000,0.667,0.006,0.007,0.000,0,18
4,480.874000,0.667,0.006,0.007,0.000,0,18
5,480.924000,0.667,0.006,0.007,0.000,0,18
6,480.934000,0.667,0.006,0.007,0.000,0,18
7,480.984000,0.667,0.006,0.007,0.000,0,18
8,481.024000,0.667,0.006,0.007,0.000,0,18
9,481.034000,0.667,0.006,0.007,0.000,0,18
10,481.124000,0.667,0.006,0.007,0.000,0,18
11,481.134000,0.667,0.006,0.007,0.000,0,18
12,481.234000,0.667,0.006,0.007,0.000,0,18
13,481.294000,0.667,0.006,0.007,0.000,0,18
14,481.324000,0.667,0.006,0.007,0.000,0,18
15,481.424000,0.667,0.006,0.007,0.000,0,18
16,481.444000,0.667,0.006,0.007,0.000,0,18
17,481.524000,0.667,0.006,0.007,0.000,0,18
18,481.534000,0.667,0.006,0.007,0.000,0,18
19,481.624000,0.667,0.006,0.007,0.000,0,18
20,481.634000,0.667,0.006,0.007,0.000,0,18
21,481.644000,0.667,0.006,0.007,0.000,0,18
22,481.724000,0.667,0.006,0.007,0.000,0,18
23,481.734000,0.667,0.006,0.007,0.000,0,18
24,481.764000,0.667,0.006,0.007,0.000,0,18
25,481.824000,0.667,0.006,0.007,0.000,0,18
26,481.924000,0.667,0.006,0.007,0.000,0,18
27,481.934000,0.667,0.006,0.007,0.000,0,18
28,482.024000,0.667,0.006,0.007,0.000,0,18
29,482.124000,0.667,0.006,0.007,0.000,0,18
30,482.134000,0.667,0.006,0.007,0.000,0,18
31,482.144000,0.667,0.006,0.007,0.000,0,18
32,482.234000,0.667,0.006,0.007,0.000,0,18
33,482.244000,0.667,0.006,0.007,0.000,0,18
34,482.254000,0.667,0.006,0.007,0.000,0,18
35,482.314000,0.667,0.006,0.007,0.000,0,18
36,482.324000,0.667,0.006,0.007,0.000,0,18
37,482.414000,0.667,0.006,0.007,0.000,0,18
38,482.434000,0.667,0.006,0.007,0.000,0,18
39,482.534000,0.667,0.006,0.007,0.000,0,18
40,482.614000,0.667,0.006,0.007,0.000,0,18
41,482.624000,0.667,0.006,0.007,0.000,0,18
42,482.634000,0.667,0.006,0.007,0.000,0,18
43,482.734000,0.667,0.006,0.007,0.000,0,18
44,482.744000,0.667,0.006,0.007,0.000,0,18
45,482.814000,0.667,0.006,0.007,0.000,0,18
46,482.824000,0.667,0.006,0.007,0.000,0,18
47,482.884000,0.667,0.006,0.007,0.000,0,18
48,482.934000,0.667,0.006,0.007,0.000,0,18
49,483.024000,0.667,0.006,0.007,0.000,0,18
50,483.124000,0.667,0.006,0.007,0.000,0,18
51,483.184000,0.667,0.006,0.007,0.000,0,18
52,483.224000,0.667,0.006,0.007,0.000,0,18
53,483.324000,0.667,0.006,0.007,0.000,0,18
54,483.424000,0.667,0.006,0.007,0.000,0,18
55,483.484000,0.667,0.006,0.007,0.000,0,18
56,483.534000,0.667,0.006,0.007,0.000,0,18
57,483.624000,0.667,0.006,0.007,0.000,0,18
58,483.724000,0.667,0.006,0.007,0.000,0,18
59,483.734000,0.667,0.006,0.007,0.000,0,18
