frame,t,n_obs,n_cands_total,ordering_ms,jcbb_ms
211,491.924000,18,12,6,172
212,492.014000,18,12,6,170
213,492.024000,18,12,6,173
214,492.124000,18,12,9,168
215,492.164000,18,12,10,170
216,492.224000,18,12,5,147
217,492.324000,18,12,6,164
218,492.364000,18,12,6,170
219,492.434000,18,12,5,181
220,492.524000,18,12,6,166
221,492.554000,18,12,4,190
222,492.624000,18,12,5,175
223,492.674000,18,12,6,180
224,492.724000,18,12,4,182
225,492.834000,18,12,8,183
226,492.844000,18,12,5,189
227,492.854000,18,12,5,177
228,492.934000,18,12,6,156
229,492.944000,18,12,4,175
230,493.024000,18,12,6,169
231,493.134000,18,12,12,176
232,493.144000,18,12,5,176
233,493.224000,18,12,8,173
234,493.314000,18,12,8,160
235,493.324000,18,12,10,169
236,493.424000,18,12,5,158
237,493.504000,18,12,6,184
238,493.534000,18,12,5,161
239,493.624000,18,12,9,153
240,493.694000,18,12,8,181
241,493.724000,18,12,6,173
242,493.834000,18,12,7,171
243,493.844000,18,12,4,197
244,493.934000,18,12,7,192
245,493.944000,18,12,7,179
246,494.024000,18,12,5,186
247,494.034000,18,12,11,202
248,494.114000,18,12,5,184
249,494.134000,18,12,5,190
250,494.144000,18,12,4,178
251,494.224000,18,12,5,182
252,494.274000,18,12,7,178
253,494.324000,18,12,8,177
254,494.434000,18,12,4,190
255,494.474000,18,12,5,179
256,494.524000,18,12,6,170
257,494.624000,18,12,9,164
258,494.654000,18,12,5,192
259,494.724000,18,12,8,162
260,494.734000,18,12,6,164
261,494.824000,18,12,4,175
262,494.834000,18,12,10,183
263,494.854000,18,12,10,195
264,494.924000,18,12,5,135
265,494.934000,18,12,5,153
266,494.984000,18,12,8,100
267,495.024000,18,12,7,83
268,495.034000,18,12,6,141
269,495.124000,18,12,6,56
270,495.134000,18,12,5,87
271,495.144000,18,12,8,132
272,495.224000,18,12,5,40
273,495.234000,18,12,7,114
274,495.294000,20,14,7,41
275,495.324000,18,14,6,32
276,495.334000,18,14,8,234
277,495.424000,16,12,8,5
278,495.434000,16,12,5,20
279,495.444000,16,12,6,43
280,495.454000,16,12,6,73
281,495.484000,16,12,6,6
282,495.504000,16,12,6,5
283,495.514000,16,12,9,6
284,495.534000,16,12,6,18
285,495.544000,16,12,5,50
286,495.554000,16,12,7,119
287,495.564000,16,12,6,177
288,495.634000,16,12,11,5
289,495.644000,16,12,5,4
290,495.654000,16,12,6,21
291,495.664000,16,12,10,103
292,495.674000,16,12,5,164
293,495.724000,16,12,5,4
294,495.734000,16,12,7,5
295,495.744000,16,12,8,17
296,495.754000,16,12,6,44
297,495.764000,16,12,5,110
298,495.814000,16,12,7,1
299,495.824000,16,12,7,1
300,495.834000,16,12,5,1
301,495.844000,16,12,8,8
302,495.854000,16,12,5,8
303,495.864000,16,12,6,14
304,495.874000,16,12,10,82
305,495.884000,16,12,5,170
306,495.924000,16,12,6,1
307,495.934000,16,12,8,2
308,495.944000,16,12,7,1
309,495.954000,16,12,8,6
310,495.964000,16,12,4,18
311,495.974000,16,12,7,39
312,495.984000,16,12,6,7
313,495.994000,16,12,5,1
314,496.004000,16,12,7,2
315,496.024000,16,12,6,1
316,496.034000,16,12,5,1
317,496.044000,16,12,8,4
318,496.054000,16,12,11,4
319,496.064000,18,14,9,33
320,496.074000,18,14,6,204
321,496.124000,18,14,6,1
322,496.134000,18,14,5,1
323,496.144000,18,14,6,1
324,496.154000,18,14,8,7
325,496.164000,18,14,8,37
326,496.194000,18,14,9,2
327,496.214000,18,14,7,1
328,496.224000,18,14,7,1
329,496.234000,18,14,6,1
330,496.244000,18,14,8,1
331,496.254000,18,14,6,8
332,496.264000,18,14,6,30
333,496.274000,18,14,6,104
334,496.284000,18,14,6,8
335,496.294000,18,14,5,1
336,496.304000,18,14,6,1
337,496.314000,18,0,7,0
338,496.324000,18,0,7,0
339,496.334000,18,14,6,2
340,496.344000,18,14,6,1
341,496.354000,18,14,12,1
342,496.364000,18,14,8,8
343,496.374000,18,14,8,34
344,496.384000,18,14,7,222
345,496.424000,18,0,7,0
346,496.434000,18,0,7,0
347,496.444000,18,14,7,1
348,496.454000,18,14,6,1
349,496.464000,18,14,6,1
350,496.474000,18,0,6,0
351,496.484000,18,0,8,0
352,496.504000,18,14,9,1
353,496.514000,18,0,8,0
354,496.524000,18,0,7,0
355,496.534000,18,0,8,0
356,496.544000,18,0,8,0
357,496.554000,18,14,9,1
358,496.564000,18,14,9,1
359,496.574000,18,14,7,6
360,496.584000,18,14,8,7
361,496.594000,18,14,6,99
362,496.624000,18,0,10,0
363,496.634000,16,0,5,0
364,496.644000,16,12,6,1
365,496.654000,16,12,8,1
366,496.664000,16,12,9,1
367,496.674000,16,12,5,5
368,496.684000,16,12,5,17
369,496.694000,16,12,9,73
370,496.704000,16,12,9,1
371,496.714000,16,12,6,1
372,496.724000,16,0,6,0
373,496.734000,16,12,6,1
374,496.744000,16,12,6,1
375,496.754000,16,12,5,1
376,496.764000,16,12,5,4
377,496.774000,16,12,5,16
378,496.784000,16,12,7,86
379,496.794000,16,12,5,171
380,496.824000,16,0,7,0
381,496.834000,16,0,6,0
382,496.844000,16,0,5,0
383,496.854000,16,0,7,0
384,496.864000,16,12,5,1
385,496.874000,16,12,7,2
386,496.884000,16,12,8,5
387,496.894000,16,12,5,8
388,496.904000,16,12,5,51
389,496.914000,16,12,6,152
390,496.924000,16,0,5,0
391,496.934000,16,0,8,0
392,496.944000,16,0,6,0
393,496.954000,16,0,6,0
394,496.964000,16,12,9,1
395,496.974000,16,12,7,1
396,496.984000,16,12,7,2
397,496.994000,16,12,5,6
398,497.004000,16,12,5,18
399,497.014000,16,12,7,120
400,497.024000,16,0,6,0
401,497.034000,16,0,7,0
402,497.044000,16,0,8,0
403,497.054000,16,0,4,0
404,497.064000,16,0,8,0
405,497.074000,16,12,8,1
406,497.084000,16,12,9,1
407,497.094000,16,12,6,5
408,497.104000,16,12,5,16
409,497.114000,16,12,10,83
410,497.124000,16,0,11,0
411,497.134000,16,0,7,0
412,497.144000,16,0,6,0
413,497.154000,16,0,5,0
414,497.164000,16,12,5,1
415,497.174000,16,12,7,1
416,497.184000,16,12,6,8
417,497.194000,16,12,6,20
418,497.204000,16,12,5,59
419,497.214000,16,12,5,181
420,497.224000,16,0,6,0
421,497.234000,16,0,7,0
422,497.244000,16,0,8,0
423,497.254000,14,0,4,0
424,497.264000,14,0,5,0
425,497.274000,14,10,5,1
426,497.284000,14,10,4,1
427,497.294000,14,10,6,2
428,497.304000,14,10,4,2
429,497.314000,14,10,5,22
430,497.324000,14,10,5,31
431,497.334000,12,10,4,34
432,497.344000,12,10,4,1
433,497.354000,12,10,5,0
434,497.364000,12,10,5,4
435,497.374000,12,10,4,19
436,497.384000,12,10,4,29
437,497.394000,12,10,5,30
438,497.404000,12,10,5,36
439,497.414000,12,10,4,35
440,497.424000,12,10,5,31
441,497.434000,12,10,7,35
442,497.444000,12,10,6,38
443,497.454000,12,10,4,35
444,497.464000,12,10,4,4
445,497.474000,12,10,4,8
446,497.484000,12,10,4,39
447,497.494000,12,10,5,35
448,497.504000,12,10,4,34
449,497.514000,12,10,5,38
450,497.524000,12,10,6,39
451,497.534000,12,0,4,0
452,497.544000,12,0,7,0
453,497.554000,12,10,4,0
454,497.564000,12,10,5,1
455,497.574000,12,10,4,3
456,497.584000,12,10,4,7
457,497.594000,12,10,4,23
458,497.604000,12,10,4,37
459,497.614000,12,10,6,41
460,497.624000,12,10,4,32
461,497.634000,12,10,4,25
462,497.644000,12,10,7,2
463,497.654000,12,10,4,0
464,497.664000,12,10,5,0
465,497.674000,12,10,5,3
466,497.684000,12,10,4,2
467,497.694000,12,10,6,21
468,497.704000,12,10,5,33
469,497.714000,12,10,5,35
470,497.724000,12,10,6,40
471,497.734000,14,12,7,1
472,497.744000,14,12,6,2
473,497.754000,14,0,8,0
474,497.764000,14,12,8,1
475,497.774000,14,12,7,1
476,497.784000,14,12,8,5
477,497.794000,14,12,7,44
478,497.804000,14,12,8,153
479,497.824000,14,0,5,0
480,497.834000,14,0,5,0
481,497.844000,14,0,9,0
482,497.854000,14,0,5,0
483,497.864000,14,0,6,0
484,497.874000,14,0,4,0
485,497.884000,14,0,8,0
486,497.894000,14,12,9,1
487,497.904000,14,12,6,1
488,497.914000,14,12,7,4
489,497.924000,14,12,6,14
490,497.934000,14,12,5,134
491,497.944000,14,0,10,0
492,497.954000,14,0,5,0
493,497.964000,14,12,7,1
494,497.974000,14,12,7,1
495,497.984000,14,12,6,6
496,497.994000,14,12,5,18
497,498.004000,14,12,7,16
498,498.014000,14,12,6,1
499,498.024000,14,0,4,0
