t,ex,ey,eyaw
2.060000,0.001,-0.004,-0.00052
2.506000,0.000,-0.004,-0.00147
3.000000,-0.000,-0.004,-0.00081
3.538000,-0.007,0.002,-0.00090
3.702000,-0.007,0.002,-0.00026
3.860000,-0.007,0.002,0.00195
4.058000,-0.008,0.002,0.00072
4.246000,-0.008,0.002,-0.00241
4.428000,-0.009,0.002,-0.00069
4.596000,-0.009,0.002,-0.00169
4.770000,-0.009,0.002,-0.00085
4.930000,-0.010,0.002,-0.00350
5.093000,-0.010,0.002,-0.00477
5.245000,-0.010,0.002,-0.00416
5.394000,-0.011,0.002,-0.00626
5.529000,-0.011,0.002,-0.00683
5.697000,-0.011,0.002,-0.00905
5.848000,-0.012,0.002,-0.01030
5.992000,-0.012,0.002,-0.00923
6.136000,-0.012,0.002,-0.00922
6.292000,-0.013,0.002,-0.00702
6.444000,-0.013,0.002,-0.00772
6.589000,-0.013,0.002,-0.01337
6.747000,-0.014,0.002,-0.01335
6.890000,-0.014,0.002,-0.01178
7.051000,-0.014,0.002,-0.01203
7.191000,-0.015,0.002,-0.01010
7.344000,-0.015,0.002,-0.01286
7.494000,-0.015,0.002,-0.01262
7.627000,-0.016,0.002,-0.01150
7.750000,-0.016,0.002,-0.01093
7.899000,-0.016,0.002,-0.01017
8.048000,-0.017,0.002,-0.01022
8.188000,-0.017,0.002,-0.00797
8.333000,-0.017,0.002,-0.00941
8.481000,-0.018,0.002,-0.01022
8.628000,-0.018,0.002,-0.00836
8.794000,-0.018,0.002,-0.00758
8.946000,-0.019,0.002,-0.00733
9.091000,-0.019,0.002,-0.00619
9.230000,-0.019,0.002,-0.00259
9.376000,-0.020,0.002,-0.00385
9.524000,-0.020,0.002,-0.00405
9.700000,-0.021,0.002,-0.00643
9.846000,-0.021,0.002,-0.00507
10.000000,-0.021,0.002,-0.00717
10.161000,-0.022,0.002,-0.00673
10.306000,-0.022,0.002,-0.00715
10.462000,-0.022,0.002,-0.00907
10.590000,-0.023,0.002,-0.00712
10.736000,-0.023,0.002,-0.00803
10.883000,-0.023,0.002,-0.00812
11.034000,-0.024,0.002,-0.00669
11.190000,-0.024,0.002,-0.00498
11.336000,-0.024,0.002,-0.00305
11.476000,-0.025,0.002,-0.00327
11.625000,-0.025,0.002,-0.00396
11.769000,-0.025,0.002,-0.00291
11.915000,-0.026,0.002,-0.00361
12.041000,-0.026,0.002,-0.00307
12.195000,-0.027,0.002,-0.00380
12.346000,-0.027,0.002,-0.00402
12.485000,-0.027,0.002,-0.00426
12.648000,-0.027,0.002,-0.00272
12.802000,-0.028,0.002,-0.00387
12.952000,-0.028,0.002,-0.00296
13.076000,-0.028,0.002,-0.00278
13.230000,-0.029,0.002,-0.00169
13.376000,-0.029,0.002,-0.00542
13.529000,-0.029,0.002,-0.00460
13.665000,-0.030,0.002,-0.00572
13.806000,-0.030,0.002,-0.00439
13.968000,-0.031,0.002,-0.00639
14.105000,-0.031,0.002,-0.00490
14.241000,-0.031,0.002,-0.00289
14.385000,-0.032,0.002,-0.00308
14.529000,-0.032,0.002,-0.00160
14.711000,-0.032,0.002,-0.00343
14.891000,-0.032,0.002,-0.00167
15.044000,-0.033,0.002,-0.00290
15.195000,-0.033,0.002,-0.00251
15.334000,-0.034,0.002,-0.00329
15.485000,-0.034,0.002,-0.00200
15.623000,-0.034,0.002,-0.00075
15.750000,-0.035,0.002,-0.00005
15.891000,-0.035,0.002,-0.00148
16.033000,-0.035,0.002,-0.00163
16.169000,-0.036,0.002,-0.00092
16.326000,-0.036,0.002,-0.00287
16.471000,-0.036,0.002,-0.00260
16.625000,-0.037,0.002,-0.00330
16.783000,-0.037,0.002,-0.00588
16.931000,-0.037,0.002,-0.00615
17.079000,-0.038,0.002,-0.00693
17.222000,-0.038,0.002,-0.00667
17.372000,-0.038,0.002,-0.00545
17.530000,-0.039,0.002,-0.00723
17.662000,-0.039,0.002,-0.00881
17.829000,-0.039,0.002,-0.00793
17.971000,-0.040,0.002,-0.00657
18.111000,-0.040,0.002,-0.00717
18.269000,-0.040,0.002,-0.00542
18.436000,-0.041,0.002,-0.00562
18.582000,-0.041,0.002,-0.00643
18.725000,-0.041,0.002,-0.00729
18.868000,-0.042,0.002,-0.00599
19.016000,-0.042,0.002,-0.00279
19.174000,-0.042,0.002,-0.00225
19.317000,-0.043,0.002,-0.00410
19.462000,-0.043,0.002,-0.00467
19.605000,-0.043,0.002,-0.00583
19.771000,-0.044,0.002,-0.00534
19.906000,-0.044,0.002,-0.00304
20.053000,-0.045,0.002,-0.00320
20.204000,-0.045,0.002,-0.00298
20.360000,-0.045,0.002,-0.00130
20.509000,-0.046,0.002,-0.00249
20.647000,-0.046,0.002,-0.00376
20.816000,-0.046,0.002,-0.00135
20.952000,-0.047,0.002,-0.00181
21.115000,-0.047,0.002,-0.00166
21.254000,-0.047,0.002,0.00086
21.415000,-0.048,0.002,0.00189
21.540000,-0.048,0.002,0.00295
21.690000,-0.048,0.002,0.00486
21.837000,-0.049,0.002,0.00387
21.982000,-0.049,0.002,0.00445
22.121000,-0.049,0.002,0.00410
22.275000,-0.050,0.002,0.00576
22.420000,-0.050,0.002,0.00377
22.570000,-0.050,0.002,0.00506
22.728000,-0.051,0.002,0.00518
22.876000,-0.051,0.002,0.00100
23.017000,-0.051,0.002,0.00194
23.193000,-0.052,0.002,0.00301
23.329000,-0.052,0.002,0.00223
23.474000,-0.052,0.002,0.00134
23.633000,-0.053,0.002,0.00261
23.763000,-0.053,0.002,0.00099
