frame,t,n_obs,n_cands_total,ordering_ms,jcbb_ms
0,372.534000,18,12,5,173
1,372.544000,18,12,8,172
2,372.554000,18,12,11,195
3,372.564000,18,12,9,187
4,372.574000,18,12,4,210
5,372.584000,18,12,7,182
6,372.624000,18,12,6,185
7,372.634000,18,12,7,170
8,372.724000,18,12,5,169
9,372.744000,18,12,6,181
10,372.824000,18,12,4,166
11,372.904000,18,12,5,170
12,372.924000,18,12,5,188
13,373.024000,18,12,4,196
14,373.034000,18,12,9,172
15,373.124000,18,12,9,187
16,373.134000,18,12,11,166
17,373.144000,18,12,7,180
18,373.224000,18,12,6,173
19,373.324000,18,12,5,155
20,373.364000,18,12,7,174
21,373.424000,18,12,8,173
22,373.524000,18,12,5,172
23,373.604000,18,12,4,171
24,373.644000,18,12,5,173
25,373.724000,18,12,5,165
26,373.824000,18,12,8,151
27,373.884000,18,12,4,161
28,373.934000,18,12,7,170
29,374.024000,18,12,5,162
30,374.124000,18,12,8,177
31,374.164000,18,12,6,189
32,374.224000,18,12,7,187
33,374.324000,18,12,5,159
34,374.364000,18,12,5,171
35,374.424000,18,12,8,184
36,374.504000,18,12,5,199
37,374.524000,18,12,6,185
38,374.604000,18,12,10,169
39,374.624000,18,12,4,155
40,374.724000,18,12,6,176
41,374.774000,18,12,4,173
42,374.824000,18,12,6,170
43,374.924000,18,12,4,169
44,374.934000,18,12,6,164
45,374.944000,18,12,6,179
46,375.024000,18,12,6,178
47,375.034000,18,12,13,182
48,375.064000,18,12,7,172
49,375.124000,18,12,7,179
50,375.134000,18,12,5,184
51,375.224000,18,12,4,179
52,375.234000,18,12,6,177
53,375.324000,18,12,6,187
54,375.334000,18,12,6,161
55,375.424000,18,12,5,158
56,375.434000,18,12,5,161
57,375.524000,18,12,5,169
58,375.624000,18,12,11,184
59,375.634000,18,12,4,186
60,375.724000,18,12,4,168
61,375.734000,18,12,4,168
62,375.824000,18,12,5,158
63,375.834000,18,12,9,191
64,375.924000,18,12,8,185
65,375.934000,18,12,5,180
66,376.024000,18,12,6,188
67,376.034000,18,12,4,164
68,376.124000,18,12,4,160
69,376.194000,18,12,6,183
70,376.224000,18,12,7,181
71,376.324000,18,12,6,179
72,376.334000,18,12,5,182
73,376.424000,18,12,4,164
74,376.494000,18,12,4,182
75,376.524000,18,12,5,173
76,376.624000,18,12,7,166
77,376.664000,18,12,4,171
78,376.724000,18,12,5,175
79,376.824000,18,12,5,177
80,376.834000,18,12,5,178
81,376.924000,18,12,5,199
82,376.934000,18,12,13,196
83,377.024000,18,12,9,165
84,377.044000,18,12,5,180
85,377.124000,18,12,7,194
86,377.134000,18,12,6,191
87,377.204000,18,12,6,193
88,377.224000,18,12,4,176
89,377.244000,18,12,8,173
90,377.324000,18,12,6,173
91,377.404000,18,12,5,168
92,377.424000,18,12,5,169
93,377.524000,18,12,5,207
94,377.534000,18,12,4,176
95,377.624000,18,12,5,188
96,377.634000,18,12,4,177
97,377.644000,18,12,4,181
98,377.724000,18,12,7,178
99,377.734000,18,12,6,200
100,377.804000,18,12,9,180
101,377.824000,18,12,6,175
102,377.924000,18,12,5,175
103,377.934000,18,12,6,161
104,378.024000,18,12,6,172
105,378.034000,18,12,7,168
106,378.124000,18,12,6,153
107,378.174000,18,12,6,180
108,378.224000,18,12,5,175
109,378.324000,18,12,6,177
110,378.334000,18,12,5,171
111,378.424000,18,12,5,185
112,378.434000,18,12,5,208
113,378.534000,18,12,5,189
114,378.544000,18,12,4,181
115,378.554000,18,12,5,230
116,378.634000,18,12,8,213
117,378.644000,18,12,8,195
118,378.654000,18,12,6,175
119,378.724000,18,12,5,162
120,378.734000,18,12,5,176
121,378.824000,18,12,5,165
122,378.914000,18,12,5,179
123,378.934000,18,12,8,188
124,378.944000,18,12,5,183
125,379.034000,18,12,8,168
126,379.064000,18,12,4,180
127,379.124000,18,12,6,168
128,379.184000,18,12,8,183
129,379.224000,18,12,9,177
130,379.324000,18,12,6,179
131,379.334000,18,12,5,168
132,379.424000,18,12,5,173
133,379.434000,18,12,5,185
134,379.504000,18,12,7,186
135,379.524000,18,12,5,191
136,379.534000,18,12,7,195
137,379.624000,18,12,8,188
138,379.634000,18,12,7,181
139,379.664000,18,12,8,186
140,379.724000,18,12,8,167
141,379.804000,18,12,4,180
142,379.824000,18,12,4,177
143,379.924000,18,12,11,170
144,379.944000,18,12,4,172
145,380.024000,18,12,5,170
146,380.124000,18,12,8,197
147,380.174000,18,12,7,181
148,380.224000,18,12,4,180
149,380.324000,18,12,6,171
150,380.334000,18,12,5,165
151,380.424000,18,12,9,178
152,380.434000,18,12,7,180
153,380.444000,18,12,9,167
154,380.524000,18,12,5,168
155,380.624000,18,12,6,170
156,380.634000,18,12,5,171
157,380.724000,18,12,6,169
158,380.734000,18,12,6,181
159,380.824000,18,12,4,172
160,380.904000,18,12,4,197
161,380.924000,18,12,6,174
162,380.934000,18,12,5,196
163,381.024000,18,12,9,198
164,381.034000,18,12,8,173
165,381.114000,18,12,4,177
166,381.124000,18,12,5,187
167,381.224000,18,12,7,180
168,381.284000,18,12,4,178
169,381.324000,18,12,4,175
170,381.424000,18,5,8,1
171,381.434000,18,4,5,0
172,381.444000,18,4,4,0
173,381.454000,18,4,6,0
174,381.464000,18,4,5,0
175,381.474000,18,3,4,0
176,381.484000,18,3,6,0
177,381.494000,18,3,6,1
178,381.504000,18,2,6,0
179,381.514000,18,2,4,0
180,381.524000,18,2,5,0
181,381.534000,18,2,4,0
182,381.544000,18,2,9,0
183,381.554000,18,2,5,0
184,381.564000,18,2,5,0
185,381.574000,18,2,4,0
186,381.584000,18,2,6,0
187,381.594000,18,2,4,0
188,381.604000,18,1,6,0
189,381.614000,18,1,7,0
190,381.624000,18,1,6,0
191,381.634000,18,1,5,0
192,381.644000,18,1,5,0
193,381.654000,18,1,5,0
194,381.664000,18,1,5,0
195,381.674000,18,1,5,0
196,381.684000,18,1,5,0
197,381.694000,18,1,4,0
198,381.704000,18,1,5,0
199,381.714000,18,1,4,0
200,381.724000,18,1,5,0
201,381.734000,18,1,4,0
202,381.744000,18,1,5,0
203,381.754000,18,0,4,0
204,381.764000,18,0,5,0
205,381.774000,18,0,4,0
206,381.784000,18,0,8,0
207,381.794000,18,0,7,0
208,381.804000,18,0,5,0
209,381.814000,18,0,6,0
210,381.824000,18,0,5,0
211,381.834000,18,0,6,0
212,381.844000,18,0,4,0
213,381.854000,18,0,5,0
214,381.864000,18,0,6,0
215,381.874000,18,0,5,0
216,381.884000,18,0,10,0
217,381.894000,18,0,6,0
218,381.904000,18,0,5,0
219,381.914000,18,0,8,0
220,381.924000,18,0,6,0
221,381.934000,18,0,9,0
222,381.944000,18,0,5,0
223,381.954000,18,0,6,0
224,381.964000,18,0,7,0
225,381.974000,18,0,5,0
226,381.984000,18,0,6,0
227,381.994000,18,0,5,0
228,382.004000,18,0,7,0
229,382.014000,18,0,4,0
230,382.024000,18,0,5,0
231,382.034000,18,0,4,0
232,382.044000,18,0,4,0
233,382.054000,18,0,6,0
234,382.064000,18,0,5,0
235,382.074000,18,0,5,0
236,382.084000,18,0,5,0
237,382.094000,18,0,7,0
238,382.104000,18,0,9,0
239,382.114000,17,0,4,0
240,382.124000,17,0,4,0
241,382.134000,17,0,8,0
242,382.144000,17,0,4,0
243,382.154000,17,0,10,0
244,382.164000,17,0,5,0
245,382.174000,17,0,4,0
246,382.184000,17,0,9,0
247,382.194000,17,0,6,0
248,382.204000,17,0,4,0
249,382.214000,17,0,5,0
250,382.224000,17,0,4,0
251,382.234000,17,0,6,0
252,382.244000,18,0,4,0
253,382.254000,18,0,6,0
254,382.264000,18,0,5,0
255,382.274000,18,0,7,0
256,382.284000,18,0,6,0
257,382.294000,18,0,5,0
258,382.304000,18,0,4,0
259,382.314000,18,0,10,0
260,382.324000,18,0,4,0
261,382.334000,18,0,4,0
262,382.344000,18,0,4,0
263,382.354000,18,0,4,0
264,382.364000,18,0,5,0
265,382.374000,18,0,5,0
266,382.384000,18,0,9,0
267,382.394000,18,0,7,0
268,382.404000,18,0,4,0
269,382.414000,18,0,5,0
270,382.424000,18,0,6,0
271,382.434000,18,0,4,0
272,382.444000,18,0,3,0
273,382.454000,18,0,4,0
274,382.464000,18,0,5,0
275,382.474000,18,0,4,0
276,382.484000,18,0,5,0
277,382.494000,18,0,4,0
278,382.504000,18,0,8,0
279,382.514000,18,0,4,0
280,382.524000,18,0,3,0
281,382.534000,18,0,4,0
282,382.544000,18,0,3,0
283,382.554000,18,0,6,0
284,382.564000,18,0,3,0
285,382.574000,18,0,4,0
286,382.584000,18,1,4,0
287,382.594000,18,1,5,0
288,382.604000,18,1,9,0
289,382.614000,18,1,5,0
290,382.624000,18,1,4,0
291,382.634000,18,1,6,0
292,382.644000,18,1,4,0
293,382.654000,18,1,6,0
294,382.664000,18,1,7,0
295,382.674000,18,0,4,0
296,382.684000,18,0,6,0
297,382.694000,18,0,4,0
298,382.704000,18,0,4,0
299,382.714000,18,0,3,0
300,382.724000,18,0,3,0
301,382.734000,18,0,5,0
302,382.744000,18,0,5,0
303,382.754000,18,0,4,0
304,382.764000,18,0,4,0
305,382.774000,18,0,6,0
306,382.784000,18,0,4,0
