frame,t,obs_idx,obs_x,obs_y,obs_color,map_id,map_x,map_y,map_color,m2,side_ok,color_penalty
0,372.534000,0,14.582,-2.080,blue,41,14.582,-2.080,blue,0.0000,1,0.0
0,372.534000,1,12.108,-3.733,blue,40,12.108,-3.733,blue,0.0000,1,0.0
0,372.534000,2,10.455,-6.207,blue,39,10.455,-6.207,blue,0.0000,1,0.0
0,372.534000,3,9.875,-9.125,blue,38,9.875,-9.125,blue,0.0000,1,0.0
0,372.534000,4,6.875,9.125,blue,-1,,,,,0,
0,372.534000,5,7.684,5.059,blue,-1,,,,,0,
0,372.534000,6,8.441,3.573,blue,-1,,,,,0,
0,372.534000,7,14.582,2.080,yellow,57,14.582,2.081,yellow,0.0000,1,0.0
0,372.534000,8,12.108,3.733,yellow,56,12.108,3.734,yellow,0.0000,1,0.0
0,372.534000,9,10.455,6.207,yellow,55,10.455,6.207,yellow,0.0000,1,0.0
0,372.534000,10,9.875,9.125,yellow,54,9.875,9.125,yellow,0.0000,1,0.0
0,372.534000,11,8.441,-3.573,yellow,-1,,,,,0,
0,372.534000,12,7.684,-5.059,yellow,-1,,,,,0,
0,372.534000,13,6.875,-9.125,yellow,-1,,,,,0,
0,372.534000,14,2.500,-1.500,orange,61,2.500,-1.500,orange,0.0000,1,0.0
0,372.534000,15,7.500,-1.500,orange,60,7.500,-1.500,orange,0.0000,1,0.0
0,372.534000,16,2.500,1.500,orange,59,2.500,1.500,orange,0.0000,1,0.0
0,372.534000,17,7.500,1.500,orange,58,7.500,1.500,orange,0.0000,1,0.0
1,372.544000,0,14.582,-2.080,blue,41,14.582,-2.080,blue,0.0000,1,0.0
1,372.544000,1,12.108,-3.733,blue,40,12.108,-3.733,blue,0.0000,1,0.0
1,372.544000,2,10.455,-6.207,blue,39,10.455,-6.207,blue,0.0000,1,0.0
1,372.544000,3,9.875,-9.125,blue,38,9.875,-9.125,blue,0.0000,1,0.0
1,372.544000,4,6.875,9.125,blue,-1,,,,,0,
1,372.544000,5,7.684,5.059,blue,-1,,,,,0,
1,372.544000,6,8.441,3.573,blue,-1,,,,,0,
1,372.544000,7,14.582,2.080,yellow,57,14.582,2.081,yellow,0.0000,1,0.0
1,372.544000,8,12.108,3.733,yellow,56,12.108,3.734,yellow,0.0000,1,0.0
1,372.544000,9,10.455,6.207,yellow,55,10.455,6.207,yellow,0.0000,1,0.0
1,372.544000,10,9.875,9.125,yellow,54,9.875,9.125,yellow,0.0000,1,0.0
1,372.544000,11,8.441,-3.573,yellow,-1,,,,,0,
1,372.544000,12,7.684,-5.059,yellow,-1,,,,,0,
1,372.544000,13,6.875,-9.125,yellow,-1,,,,,0,
1,372.544000,14,2.500,-1.500,orange,61,2.500,-1.500,orange,0.0000,1,0.0
1,372.544000,15,7.500,-1.500,orange,60,7.500,-1.500,orange,0.0000,1,0.0
1,372.544000,16,2.500,1.500,orange,59,2.500,1.500,orange,0.0000,1,0.0
1,372.544000,17,7.500,1.500,orange,58,7.500,1.500,orange,0.0000,1,0.0
2,372.554000,0,14.582,-2.080,blue,41,14.582,-2.080,blue,0.0000,1,0.0
2,372.554000,1,12.108,-3.733,blue,40,12.108,-3.733,blue,0.0000,1,0.0
2,372.554000,2,10.455,-6.207,blue,39,10.455,-6.207,blue,0.0000,1,0.0
