frame,t,match_frac,mean_mahal_sqrt,p95_mahal_sqrt,wrong_side_rate,color_confusions,n_obs
0,372.534000,0.667,0.006,0.007,0.000,0,18
1,372.544000,0.667,0.006,0.007,0.000,0,18
2,372.554000,0.667,0.006,0.007,0.000,0,18
3,372.564000,0.667,0.006,0.007,0.000,0,18
4,372.574000,0.667,0.006,0.007,0.000,0,18
5,372.584000,0.667,0.006,0.007,0.000,0,18
6,372.624000,0.667,0.006,0.007,0.000,0,18
7,372.634000,0.667,0.006,0.007,0.000,0,18
8,372.724000,0.667,0.006,0.007,0.000,0,18
9,372.744000,0.667,0.006,0.007,0.000,0,18
10,372.824000,0.667,0.006,0.007,0.000,0,18
11,372.904000,0.667,0.006,0.007,0.000,0,18
12,372.924000,0.667,0.006,0.007,0.000,0,18
13,373.024000,0.667,0.006,0.007,0.000,0,18
14,373.034000,0.667,0.006,0.007,0.000,0,18
15,373.124000,0.667,0.006,0.007,0.000,0,18
16,373.134000,0.667,0.006,0.007,0.000,0,18
17,373.144000,0.667,0.006,0.007,0.000,0,18
18,373.224000,0.667,0.006,0.007,0.000,0,18
19,373.324000,0.667,0.006,0.007,0.000,0,18
20,373.364000,0.667,0.006,0.007,0.000,0,18
21,373.424000,0.667,0.006,0.007,0.000,0,18
22,373.524000,0.667,0.006,0.007,0.000,0,18
23,373.604000,0.667,0.006,0.007,0.000,0,18
24,373.644000,0.667,0.006,0.007,0.000,0,18
25,373.724000,0.667,0.006,0.007,0.000,0,18
26,373.824000,0.667,0.006,0.007,0.000,0,18
27,373.884000,0.667,0.006,0.007,0.000,0,18
28,373.934000,0.667,0.006,0.007,0.000,0,18
29,374.024000,0.667,0.006,0.007,0.000,0,18
30,374.124000,0.667,0.006,0.007,0.000,0,18
31,374.164000,0.667,0.006,0.007,0.000,0,18
32,374.224000,0.667,0.006,0.007,0.000,0,18
33,374.324000,0.667,0.006,0.007,0.000,0,18
34,374.364000,0.667,0.006,0.007,0.000,0,18
35,374.424000,0.667,0.006,0.007,0.000,0,18
36,374.504000,0.667,0.006,0.007,0.000,0,18
37,374.524000,0.667,0.006,0.007,0.000,0,18
38,374.604000,0.667,0.006,0.007,0.000,0,18
39,374.624000,0.667,0.006,0.007,0.000,0,18
40,374.724000,0.667,0.006,0.007,0.000,0,18
41,374.774000,0.667,0.006,0.007,0.000,0,18
42,374.824000,0.667,0.006,0.007,0.000,0,18
43,374.924000,0.667,0.006,0.007,0.000,0,18
44,374.934000,0.667,0.006,0.007,0.000,0,18
45,374.944000,0.667,0.006,0.007,0.000,0,18
46,375.024000,0.667,0.006,0.007,0.000,0,18
47,375.034000,0.667,0.006,0.007,0.000,0,18
48,375.064000,0.667,0.006,0.007,0.000,0,18
49,375.124000,0.667,0.006,0.007,0.000,0,18
50,375.134000,0.667,0.006,0.007,0.000,0,18
51,375.224000,0.667,0.006,0.007,0.000,0,18
