frame,t,match_frac,mean_mahal_sqrt,p95_mahal_sqrt,wrong_side_rate,color_confusions,n_obs
0,122.004000,0.667,0.000,0.001,0.000,0,18
1,122.014000,0.667,0.000,0.001,0.000,0,18
2,122.024000,0.667,0.000,0.001,0.000,0,18
3,122.034000,0.667,0.000,0.001,0.000,0,18
4,122.054000,0.667,0.000,0.001,0.000,0,18
5,122.194000,0.667,0.000,0.001,0.000,0,18
6,122.304000,0.667,0.000,0.001,0.000,0,18
7,122.444000,0.667,0.000,0.001,0.000,0,18
8,122.554000,0.667,0.000,0.001,0.000,0,18
9,122.664000,0.667,0.000,0.001,0.000,0,18
10,122.764000,0.667,0.000,0.001,0.000,0,18
11,122.874000,0.667,0.000,0.001,0.000,0,18
12,122.994000,0.667,0.000,0.001,0.000,0,18
13,123.124000,0.667,0.000,0.001,0.000,0,18
14,123.244000,0.667,0.000,0.001,0.000,0,18
15,123.344000,0.667,0.000,0.001,0.000,0,18
16,123.454000,0.667,0.000,0.001,0.000,0,18
17,123.564000,0.667,0.000,0.001,0.000,0,18
18,123.684000,0.667,0.000,0.001,0.000,0,18
19,123.814000,0.667,0.000,0.001,0.000,0,18
20,123.914000,0.667,0.000,0.001,0.000,0,18
21,124.044000,0.667,0.000,0.001,0.000,0,18
22,124.184000,0.667,0.000,0.001,0.000,0,18
23,124.304000,0.667,0.000,0.001,0.000,0,18
24,124.424000,0.667,0.000,0.001,0.000,0,18
25,124.544000,0.667,0.000,0.001,0.000,0,18
26,124.654000,0.667,0.000,0.001,0.000,0,18
27,124.764000,0.667,0.000,0.001,0.000,0,18
28,124.884000,0.667,0.000,0.001,0.000,0,18
29,125.004000,0.667,0.000,0.001,0.000,0,18
30,125.144000,0.667,0.000,0.001,0.000,0,18
31,125.254000,0.667,0.000,0.001,0.000,0,18
32,125.374000,0.667,0.000,0.001,0.000,0,18
33,125.474000,0.667,0.000,0.001,0.000,0,18
34,125.594000,0.667,0.000,0.001,0.000,0,18
35,125.694000,0.667,0.000,0.001,0.000,0,18
36,125.834000,0.667,0.000,0.001,0.000,0,18
37,125.934000,0.667,0.000,0.001,0.000,0,18
38,126.064000,0.667,0.000,0.001,0.000,0,18
39,126.184000,0.667,0.000,0.001,0.000,0,18
40,126.314000,0.667,0.000,0.001,0.000,0,18
41,126.444000,0.667,0.000,0.001,0.000,0,18
42,126.574000,0.667,0.000,0.001,0.000,0,18
43,126.694000,0.667,0.000,0.001,0.000,0,18
44,126.834000,0.667,0.000,0.001,0.000,0,18
45,126.954000,0.667,0.000,0.001,0.000,0,18
46,127.084000,0.667,0.000,0.001,0.000,0,18
47,127.214000,0.667,0.000,0.001,0.000,0,18
48,127.354000,0.667,0.000,0.001,0.000,0,18
49,127.474000,0.667,0.000,0.001,0.000,0,18
50,127.594000,0.667,0.000,0.001,0.000,0,18
51,127.724000,0.667,0.000,0.001,0.000,0,18
52,127.834000,0.667,0.000,0.001,0.000,0,18
53,127.964000,0.667,0.000,0.001,0.000,0,18
54,128.104000,0.667,0.000,0.001,0.000,0,18
55,128.244000,0.667,0.000,0.001,0.000,0,18
56,128.384000,0.667,0.000,0.001,0.000,0,18
57,128.524000,0.667,0.000,0.001,0.000,0,18
58,128.654000,0.667,0.000,0.001,0.000,0,18
59,128.784000,0.667,0.000,0.001,0.000,0,18
60,128.914000,0.667,0.000,0.001,0.000,0,18
61,129.034000,0.667,0.000,0.001,0.000,0,18
62,129.154000,0.667,0.000,0.001,0.000,0,18
