frame,t,n_obs,n_cands_total,ordering_ms,jcbb_ms
0,232.014000,18,12,6,116
1,232.024000,18,12,3,145
2,232.124000,18,12,4,116
3,232.244000,18,12,3,113
4,232.364000,18,12,3,119
5,232.494000,18,12,4,133
6,232.634000,18,12,4,120
7,232.764000,18,12,4,127
8,232.904000,18,12,4,120
9,233.024000,18,12,4,108
10,233.144000,18,12,5,118
11,233.274000,18,12,4,137
12,233.414000,18,12,4,118
13,233.544000,18,12,3,121
14,233.674000,18,12,4,124
15,233.804000,18,12,4,126
16,233.934000,18,12,4,124
17,234.064000,18,12,4,108
18,234.184000,18,12,7,151
19,234.344000,18,12,4,113
20,234.464000,18,12,3,143
21,234.614000,18,12,3,120
22,234.734000,18,12,3,129
23,234.874000,18,12,3,120
24,235.004000,18,12,5,119
25,235.134000,18,12,3,127
26,235.264000,18,12,3,130
27,235.404000,18,12,4,124
28,235.534000,18,12,4,114
29,235.654000,18,12,3,136
30,235.794000,18,12,4,127
31,235.934000,18,12,3,127
32,236.064000,18,12,3,128
33,236.214000,18,12,4,129
34,236.354000,18,12,4,122
35,236.484000,18,12,3,121
36,236.604000,18,12,5,121
37,236.744000,18,12,7,144
38,236.894000,18,12,3,110
39,237.004000,18,12,3,117
40,237.134000,18,12,4,125
41,237.264000,18,12,5,116
42,237.394000,18,12,4,125
43,237.524000,18,12,4,125
44,237.654000,18,12,4,119
45,237.784000,18,12,5,122
46,237.914000,18,12,4,122
47,238.044000,18,12,4,124
48,238.174000,18,12,4,122
49,238.304000,18,12,3,116
50,238.424000,18,12,4,120
51,238.554000,18,12,5,120
52,238.684000,18,12,4,131
53,238.824000,18,12,3,116
54,238.944000,18,12,4,121
55,239.074000,18,12,4,130
56,239.214000,18,12,4,118
57,239.344000,18,12,4,115
58,239.464000,18,12,3,129
59,239.594000,18,12,4,140
60,239.744000,18,12,3,130
61,239.884000,18,12,3,155
62,240.034000,18,12,4,133
63,240.184000,18,12,5,149
64,240.334000,18,12,5,140
65,240.484000,18,12,4,131
66,240.624000,18,12,4,130
67,240.764000,18,12,3,131
68,240.904000,18,12,4,121
69,241.034000,18,12,4,123
70,241.164000,18,12,4,126
71,241.294000,18,12,4,127
72,241.434000,18,12,4,121
73,241.564000,18,12,4,129
74,241.694000,18,12,3,108
75,241.814000,18,12,3,148
76,241.964000,18,12,3,115
77,242.084000,18,12,4,135
78,242.234000,18,12,4,127
79,242.364000,18,12,4,125
80,242.494000,18,12,4,126
81,242.634000,18,12,4,130
82,242.764000,18,12,6,117
83,242.894000,18,12,3,129
84,243.034000,18,12,4,123
85,243.164000,18,12,4,128
86,243.294000,18,12,4,111
87,243.414000,18,12,4,121
88,243.544000,18,12,5,118
89,243.674000,18,12,3,131
90,243.814000,18,12,4,123
91,243.944000,18,12,6,140
92,244.094000,18,12,4,127
93,244.224000,18,12,5,133
94,244.374000,18,12,4,121
95,244.494000,18,12,4,126
96,244.634000,18,12,3,112
