frame,t,match_frac,mean_mahal_sqrt,p95_mahal_sqrt,wrong_side_rate,color_confusions,n_obs
0,232.014000,0.667,0.000,0.001,0.000,0,18
1,232.024000,0.667,0.000,0.001,0.000,0,18
2,232.124000,0.667,0.000,0.001,0.000,0,18
3,232.244000,0.667,0.000,0.001,0.000,0,18
4,232.364000,0.667,0.000,0.001,0.000,0,18
5,232.494000,0.667,0.000,0.001,0.000,0,18
6,232.634000,0.667,0.000,0.001,0.000,0,18
7,232.764000,0.667,0.000,0.001,0.000,0,18
8,232.904000,0.667,0.000,0.001,0.000,0,18
9,233.024000,0.667,0.000,0.001,0.000,0,18
10,233.144000,0.667,0.000,0.001,0.000,0,18
11,233.274000,0.667,0.000,0.001,0.000,0,18
12,233.414000,0.667,0.000,0.001,0.000,0,18
13,233.544000,0.667,0.000,0.001,0.000,0,18
14,233.674000,0.667,0.000,0.001,0.000,0,18
15,233.804000,0.667,0.000,0.001,0.000,0,18
16,233.934000,0.667,0.000,0.001,0.000,0,18
17,234.064000,0.667,0.000,0.001,0.000,0,18
18,234.184000,0.667,0.000,0.001,0.000,0,18
19,234.344000,0.667,0.000,0.001,0.000,0,18
20,234.464000,0.667,0.000,0.001,0.000,0,18
21,234.614000,0.667,0.000,0.001,0.000,0,18
22,234.734000,0.667,0.000,0.001,0.000,0,18
23,234.874000,0.667,0.000,0.001,0.000,0,18
24,235.004000,0.667,0.000,0.001,0.000,0,18
25,235.134000,0.667,0.000,0.001,0.000,0,18
26,235.264000,0.667,0.000,0.001,0.000,0,18
27,235.404000,0.667,0.000,0.001,0.000,0,18
28,235.534000,0.667,0.000,0.001,0.000,0,18
29,235.654000,0.667,0.000,0.001,0.000,0,18
30,235.794000,0.667,0.000,0.001,0.000,0,18
31,235.934000,0.667,0.000,0.001,0.000,0,18
32,236.064000,0.667,0.000,0.001,0.000,0,18
33,236.214000,0.667,0.000,0.001,0.000,0,18
34,236.354000,0.667,0.000,0.001,0.000,0,18
35,236.484000,0.667,0.000,0.001,0.000,0,18
