frame,t,n_obs,n_cands_total,ordering_ms,jcbb_ms
0,65.154000,18,12,5,155
1,65.164000,18,12,5,153
2,65.174000,18,12,4,143
3,65.214000,18,12,4,137
4,65.284000,18,12,4,152
5,65.334000,18,12,5,155
6,65.414000,18,12,9,148
7,65.514000,18,12,7,144
8,65.604000,18,12,5,162
9,65.654000,18,12,5,173
10,65.714000,18,12,4,162
11,65.754000,18,12,4,154
12,65.824000,18,12,4,154
13,65.914000,18,12,6,162
14,66.014000,18,12,4,156
15,66.094000,18,12,7,148
16,66.164000,18,12,4,160
17,66.214000,18,12,6,150
18,66.314000,18,12,5,139
19,66.414000,18,12,4,159
20,66.474000,18,12,5,171
21,66.524000,18,12,4,153
22,66.614000,18,12,4,160
23,66.714000,18,12,5,150
24,66.814000,18,12,4,152
25,66.854000,18,12,5,160
26,66.924000,18,12,4,159
27,67.014000,18,12,4,149
28,67.114000,18,12,4,132
29,67.194000,18,12,5,156
30,67.244000,18,12,4,154
31,67.314000,18,12,4,142
32,67.414000,18,12,5,167
33,67.514000,18,12,6,157
34,67.594000,18,12,4,152
35,67.634000,18,12,5,143
36,67.714000,18,12,6,150
37,67.814000,18,12,5,142
38,67.914000,18,12,5,145
39,67.984000,18,12,6,143
40,68.034000,18,12,6,153
41,68.114000,18,12,5,137
42,68.214000,18,12,5,156
43,68.314000,18,12,7,143
44,68.354000,18,12,4,151
45,68.424000,18,12,4,150
46,68.514000,18,12,5,148
47,68.614000,18,12,5,136
48,68.714000,18,12,4,142
49,68.784000,18,12,5,151
50,68.834000,18,12,5,142
51,68.914000,18,12,4,145
52,69.014000,18,12,4,146
53,69.114000,18,12,5,148
54,69.184000,18,12,5,144
55,69.244000,18,12,5,141
56,69.314000,18,12,4,158
57,69.414000,18,12,7,147
58,69.514000,18,12,6,138
59,69.594000,18,12,5,149
60,69.654000,18,12,5,147
61,69.724000,18,12,5,151
62,69.814000,18,12,7,153
63,69.914000,18,12,6,140
64,70.004000,18,12,5,136
65,70.064000,18,12,9,156
66,70.134000,18,12,4,146
67,70.214000,18,12,8,143
68,70.314000,18,12,4,139
69,70.414000,18,12,6,134
70,70.464000,18,12,4,155
71,70.534000,18,12,4,143
72,70.614000,18,12,6,153
73,70.714000,18,12,4,166
74,70.814000,18,12,4,148
75,70.894000,18,12,4,149
76,70.954000,18,12,4,146
77,71.014000,18,12,4,140
78,71.114000,18,12,4,143
79,71.214000,18,12,7,132
80,71.284000,18,12,5,140
81,71.334000,18,12,6,145
82,71.414000,18,12,6,142
83,71.514000,18,12,4,148
84,71.594000,18,12,4,144
85,71.654000,18,12,4,154
86,71.714000,18,12,6,140
87,71.814000,18,12,5,156
88,71.914000,18,12,4,155
89,72.014000,18,12,4,137
90,72.064000,18,12,5,153
91,72.134000,18,12,4,147
92,72.214000,18,12,5,154
93,72.314000,18,12,7,147
94,72.414000,18,12,5,140
95,72.474000,18,12,5,148
96,72.534000,18,12,6,147
97,72.614000,18,12,5,127
98,72.714000,18,12,6,153
99,72.804000,18,12,4,140
100,72.854000,18,12,5,150
101,72.914000,18,12,5,133
102,73.014000,18,12,4,149
103,73.114000,18,12,5,145
104,73.194000,18,12,6,153
105,73.264000,18,12,5,146
106,73.334000,18,12,4,141
107,73.414000,18,12,4,129
108,73.514000,18,12,6,142
109,73.584000,18,12,4,156
110,73.644000,18,12,4,154
111,73.714000,18,12,4,151
112,73.814000,18,12,4,134
113,73.904000,18,12,4,151
114,73.964000,18,12,4,153
115,74.024000,18,12,5,139
116,74.114000,18,12,5,150
117,74.214000,18,12,4,143
118,74.294000,18,12,4,144
119,74.354000,18,12,5,149
120,74.414000,18,12,5,149
121,74.514000,18,12,4,151
122,74.614000,18,12,5,146
123,74.704000,18,12,4,149
124,74.764000,18,12,5,149
125,74.834000,18,12,6,129
126,74.914000,18,12,6,143
127,75.014000,18,12,5,157
128,75.114000,18,12,5,168
129,75.184000,18,12,5,143
130,75.234000,18,12,6,154
131,75.314000,18,12,4,125
132,75.414000,18,12,5,144
133,75.494000,18,12,5,160
134,75.554000,18,12,4,161
135,75.614000,18,12,8,144
136,75.714000,18,12,4,155
137,75.804000,18,12,4,154
138,75.864000,18,12,5,149
139,75.924000,18,12,4,157
140,76.014000,18,12,5,138
141,76.114000,18,12,5,153
142,76.194000,18,12,6,143
143,76.234000,18,12,6,146
144,76.314000,18,12,7,158
145,76.414000,18,12,4,152
146,76.474000,18,12,4,153
147,76.524000,18,12,5,156
148,76.624000,18,12,7,159
149,76.714000,18,12,6,156
150,76.794000,18,12,5,148
151,76.854000,18,12,6,158
152,76.914000,18,12,4,152
153,77.014000,18,12,4,146
154,77.114000,18,12,4,153
155,77.194000,18,12,5,152
156,77.244000,18,12,4,158
157,77.314000,18,12,4,149
158,77.424000,18,12,4,160
159,77.514000,18,12,5,150
160,77.584000,18,12,5,168
161,77.644000,18,12,4,154
162,77.714000,18,12,6,160
163,77.814000,18,12,5,168
164,77.894000,18,12,7,166
165,77.944000,18,12,5,166
166,78.014000,18,12,6,147
167,78.114000,18,12,6,174
168,78.214000,18,12,4,150
169,78.304000,18,12,4,161
170,78.364000,18,12,5,165
171,78.424000,18,12,5,158
172,78.514000,18,12,5,152
173,78.614000,18,12,9,158
174,78.704000,18,12,4,156
175,78.754000,18,12,5,174
176,78.814000,18,12,5,159
177,78.914000,18,12,4,141
178,79.014000,18,12,6,149
179,79.074000,18,12,5,158
180,79.134000,18,12,7,144
181,79.214000,18,12,4,162
182,79.314000,18,12,4,146
183,79.414000,18,12,5,166
184,79.474000,18,12,5,152
185,79.514000,18,12,6,158
186,79.614000,18,12,6,155
187,79.714000,18,12,5,164
188,79.774000,18,12,6,169
189,79.814000,18,12,5,165
190,79.924000,18,12,5,157
191,80.014000,18,12,6,159
192,80.094000,18,12,6,145
193,80.144000,18,12,4,147
194,80.214000,18,12,4,154
195,80.314000,18,12,6,153
196,80.414000,18,12,5,141
197,80.464000,18,12,5,165
198,80.534000,18,12,5,154
199,80.614000,18,12,4,152
