frame,t,match_frac,mean_mahal_sqrt,p95_mahal_sqrt,wrong_side_rate,color_confusions,n_obs
0,65.154000,0.667,0.000,0.001,0.000,0,18
1,65.164000,0.667,0.000,0.001,0.000,0,18
2,65.174000,0.667,0.000,0.001,0.000,0,18
3,65.214000,0.667,0.000,0.001,0.000,0,18
4,65.284000,0.667,0.000,0.001,0.000,0,18
5,65.334000,0.667,0.000,0.001,0.000,0,18
6,65.414000,0.667,0.000,0.001,0.000,0,18
7,65.514000,0.667,0.000,0.001,0.000,0,18
8,65.604000,0.667,0.000,0.001,0.000,0,18
9,65.654000,0.667,0.000,0.001,0.000,0,18
10,65.714000,0.667,0.000,0.001,0.000,0,18
11,65.754000,0.667,0.000,0.001,0.000,0,18
12,65.824000,0.667,0.000,0.001,0.000,0,18
13,65.914000,0.667,0.000,0.001,0.000,0,18
14,66.014000,0.667,0.000,0.001,0.000,0,18
15,66.094000,0.667,0.000,0.001,0.000,0,18
16,66.164000,0.667,0.000,0.001,0.000,0,18
17,66.214000,0.667,0.000,0.001,0.000,0,18
18,66.314000,0.667,0.000,0.001,0.000,0,18
19,66.414000,0.667,0.000,0.001,0.000,0,18
20,66.474000,0.667,0.000,0.001,0.000,0,18
21,66.524000,0.667,0.000,0.001,0.000,0,18
22,66.614000,0.667,0.000,0.001,0.000,0,18
23,66.714000,0.667,0.000,0.001,0.000,0,18
24,66.814000,0.667,0.000,0.001,0.000,0,18
25,66.854000,0.667,0.000,0.001,0.000,0,18
26,66.924000,0.667,0.000,0.001,0.000,0,18
27,67.014000,0.667,0.000,0.001,0.000,0,18
28,67.114000,0.667,0.000,0.001,0.000,0,18
29,67.194000,0.667,0.000,0.001,0.000,0,18
30,67.244000,0.667,0.000,0.001,0.000,0,18
31,67.314000,0.667,0.000,0.001,0.000,0,18
32,67.414000,0.667,0.000,0.001,0.000,0,18
33,67.514000,0.667,0.000,0.001,0.000,0,18
34,67.594000,0.667,0.000,0.001,0.000,0,18
35,67.634000,0.667,0.000,0.001,0.000,0,18
36,67.714000,0.667,0.000,0.001,0.000,0,18
37,67.814000,0.667,0.000,0.001,0.000,0,18
38,67.914000,0.667,0.000,0.001,0.000,0,18
39,67.984000,0.667,0.000,0.001,0.000,0,18
40,68.034000,0.667,0.000,0.001,0.000,0,18
41,68.114000,0.667,0.000,0.001,0.000,0,18
42,68.214000,0.667,0.000,0.001,0.000,0,18
43,68.314000,0.667,0.000,0.001,0.000,0,18
44,68.354000,0.667,0.000,0.001,0.000,0,18
45,68.424000,0.667,0.000,0.001,0.000,0,18
46,68.514000,0.667,0.000,0.001,0.000,0,18
47,68.614000,0.667,0.000,0.001,0.000,0,18
48,68.714000,0.667,0.000,0.001,0.000,0,18
49,68.784000,0.667,0.000,0.001,0.000,0,18
50,68.834000,0.667,0.000,0.001,0.000,0,18
51,68.914000,0.667,0.000,0.001,0.000,0,18
52,69.014000,0.667,0.000,0.001,0.000,0,18
53,69.114000,0.667,0.000,0.001,0.000,0,18
54,69.184000,0.667,0.000,0.001,0.000,0,18
55,69.244000,0.667,0.000,0.001,0.000,0,18
56,69.314000,0.667,0.000,0.001,0.000,0,18
57,69.414000,0.667,0.000,0.001,0.000,0,18
58,69.514000,0.667,0.000,0.001,0.000,0,18
59,69.594000,0.667,0.000,0.001,0.000,0,18
60,69.654000,0.667,0.000,0.001,0.000,0,18
61,69.724000,0.667,0.000,0.001,0.000,0,18
62,69.814000,0.667,0.000,0.001,0.000,0,18
63,69.914000,0.667,0.000,0.001,0.000,0,18
64,70.004000,0.667,0.000,0.001,0.000,0,18
65,70.064000,0.667,0.000,0.001,0.000,0,18
66,70.134000,0.667,0.000,0.001,0.000,0,18
67,70.214000,0.667,0.000,0.001,0.000,0,18
68,70.314000,0.667,0.000,0.001,0.000,0,18
