frame,t,n_obs,n_cands_total,ordering_ms,jcbb_ms
0,1069.344000,18,12,4,255
1,1069.354000,18,12,4,237
2,1069.364000,18,12,8,226
3,1069.374000,18,12,7,215
4,1069.384000,18,12,7,204
5,1069.394000,18,12,9,203
6,1069.404000,18,12,5,207
7,1069.414000,18,12,5,192
8,1069.424000,18,12,12,181
9,1069.434000,18,12,8,198
10,1069.444000,18,12,4,200
11,1069.454000,18,12,6,181
12,1069.464000,18,12,8,166
13,1069.514000,18,12,7,196
14,1069.544000,18,12,7,183
15,1069.644000,18,12,5,210
16,1069.744000,18,12,6,186
17,1069.754000,18,12,8,197
18,1069.844000,18,12,6,156
19,1069.884000,18,12,6,195
20,1069.944000,18,12,12,196
21,1070.044000,18,12,9,173
22,1070.094000,18,12,6,188
23,1070.144000,18,12,8,205
24,1070.214000,18,12,5,194
25,1070.244000,18,12,8,173
26,1070.344000,18,12,4,171
27,1070.424000,18,12,6,189
28,1070.434000,18,12,6,179
29,1070.544000,18,12,4,179
30,1070.624000,18,12,9,183
31,1070.644000,18,12,8,180
32,1070.744000,18,12,10,204
33,1070.754000,18,12,7,191
34,1070.844000,18,12,8,193
35,1070.854000,18,12,10,197
36,1070.944000,18,12,8,171
37,1071.044000,18,12,5,170
38,1071.054000,18,12,5,204
39,1071.144000,18,12,6,202
40,1071.154000,18,12,9,184
41,1071.244000,18,12,9,178
42,1071.254000,18,12,4,226
43,1071.344000,18,12,17,176
44,1071.434000,18,12,7,179
45,1071.444000,18,12,4,174
46,1071.534000,18,12,5,212
47,1071.584000,18,12,5,208
48,1071.644000,18,12,8,194
49,1071.654000,18,12,6,201
50,1071.734000,18,12,5,203
51,1071.744000,18,12,10,211
52,1071.784000,18,12,8,208
53,1071.844000,18,12,5,208
54,1071.854000,18,12,12,197
55,1071.944000,18,12,8,228
56,1071.954000,18,12,7,196
57,1072.034000,18,12,7,203
58,1072.054000,18,12,7,205
59,1072.134000,18,12,4,188
60,1072.234000,18,12,4,187
61,1072.244000,18,12,12,195
62,1072.334000,18,12,6,186
63,1072.344000,18,12,7,185
64,1072.444000,18,12,9,195
65,1072.454000,18,12,5,185
66,1072.544000,18,12,4,212
67,1072.554000,18,12,4,187
68,1072.644000,18,12,7,191
69,1072.654000,18,12,5,197
70,1072.744000,18,12,4,178
71,1072.794000,18,12,4,187
72,1072.834000,18,12,8,175
73,1072.944000,18,12,4,191
74,1073.044000,18,12,7,186
75,1073.054000,18,12,7,163
76,1073.144000,18,12,8,207
77,1073.154000,18,12,10,190
78,1073.164000,18,12,6,172
79,1073.234000,18,12,6,174
80,1073.244000,18,12,5,163
81,1073.344000,18,12,5,190
82,1073.354000,18,12,5,174
83,1073.434000,18,12,5,182
84,1073.484000,18,12,5,172
85,1073.544000,18,12,5,176
86,1073.644000,18,12,5,168
87,1073.714000,18,12,15,191
88,1073.734000,18,12,6,177
89,1073.834000,18,12,5,174
90,1073.844000,18,12,7,167
91,1073.944000,18,12,5,164
92,1073.954000,18,12,9,172
93,1074.034000,18,12,6,181
94,1074.104000,18,12,5,190
95,1074.144000,18,12,6,168
96,1074.234000,18,12,5,169
