frame,t,match_frac,mean_mahal_sqrt,p95_mahal_sqrt,wrong_side_rate,color_confusions,n_obs
0,1069.344000,0.667,0.006,0.007,0.000,0,18
1,1069.354000,0.667,0.006,0.007,0.000,0,18
2,1069.364000,0.667,0.006,0.007,0.000,0,18
3,1069.374000,0.667,0.006,0.007,0.000,0,18
4,1069.384000,0.667,0.006,0.007,0.000,0,18
5,1069.394000,0.667,0.006,0.007,0.000,0,18
6,1069.404000,0.667,0.006,0.007,0.000,0,18
7,1069.414000,0.667,0.006,0.007,0.000,0,18
8,1069.424000,0.667,0.006,0.007,0.000,0,18
9,1069.434000,0.667,0.006,0.007,0.000,0,18
10,1069.444000,0.667,0.006,0.007,0.000,0,18
11,1069.454000,0.667,0.006,0.007,0.000,0,18
12,1069.464000,0.667,0.006,0.007,0.000,0,18
13,1069.514000,0.667,0.006,0.007,0.000,0,18
14,1069.544000,0.667,0.006,0.007,0.000,0,18
15,1069.644000,0.667,0.006,0.007,0.000,0,18
16,1069.744000,0.667,0.006,0.007,0.000,0,18
17,1069.754000,0.667,0.006,0.007,0.000,0,18
18,1069.844000,0.667,0.006,0.007,0.000,0,18
19,1069.884000,0.667,0.006,0.007,0.000,0,18
20,1069.944000,0.667,0.006,0.007,0.000,0,18
21,1070.044000,0.667,0.006,0.007,0.000,0,18
22,1070.094000,0.667,0.006,0.007,0.000,0,18
23,1070.144000,0.667,0.006,0.007,0.000,0,18
24,1070.214000,0.667,0.006,0.007,0.000,0,18
25,1070.244000,0.667,0.006,0.007,0.000,0,18
26,1070.344000,0.667,0.006,0.007,0.000,0,18
27,1070.424000,0.667,0.006,0.007,0.000,0,18
28,1070.434000,0.667,0.006,0.007,0.000,0,18
29,1070.544000,0.667,0.006,0.007,0.000,0,18
30,1070.624000,0.667,0.006,0.007,0.000,0,18
31,1070.644000,0.667,0.006,0.007,0.000,0,18
32,1070.744000,0.667,0.006,0.007,0.000,0,18
33,1070.754000,0.667,0.006,0.007,0.000,0,18
34,1070.844000,0.667,0.006,0.007,0.000,0,18
35,1070.854000,0.667,0.006,0.007,0.000,0,18
36,1070.944000,0.667,0.006,0.007,0.000,0,18
37,1071.044000,0.667,0.006,0.007,0.000,0,18
38,1071.054000,0.667,0.006,0.007,0.000,0,18
39,1071.144000,0.667,0.006,0.007,0.000,0,18
40,1071.154000,0.667,0.006,0.007,0.000,0,18
41,1071.244000,0.667,0.006,0.007,0.000,0,18
42,1071.254000,0.667,0.006,0.007,0.000,0,18
43,1071.344000,0.667,0.006,0.007,0.000,0,18
44,1071.434000,0.667,0.006,0.007,0.000,0,18
45,1071.444000,0.667,0.006,0.007,0.000,0,18
46,1071.534000,0.667,0.006,0.007,0.000,0,18
47,1071.584000,0.667,0.006,0.007,0.000,0,18
48,1071.644000,0.667,0.006,0.007,0.000,0,18
49,1071.654000,0.667,0.006,0.007,0.000,0,18
50,1071.734000,0.667,0.006,0.007,0.000,0,18
51,1071.744000,0.667,0.006,0.007,0.000,0,18
52,1071.784000,0.667,0.006,0.007,0.000,0,18
53,1071.844000,0.667,0.006,0.007,0.000,0,18
54,1071.854000,0.667,0.006,0.007,0.000,0,18
55,1071.944000,0.667,0.006,0.007,0.000,0,18
56,1071.954000,0.667,0.006,0.007,0.000,0,18
57,1072.034000,0.667,0.006,0.007,0.000,0,18
58,1072.054000,0.667,0.006,0.007,0.000,0,18
59,1072.134000,0.667,0.006,0.007,0.000,0,18
60,1072.234000,0.667,0.006,0.007,0.000,0,18
61,1072.244000,0.667,0.006,0.007,0.000,0,18
62,1072.334000,0.667,0.006,0.007,0.000,0,18
63,1072.344000,0.667,0.006,0.007,0.000,0,18
64,1072.444000,0.667,0.006,0.007,0.000,0,18
65,1072.454000,0.667,0.006,0.007,0.000,0,18
66,1072.544000,0.667,0.006,0.007,0.000,0,18
67,1072.554000,0.667,0.006,0.007,0.000,0,18
68,1072.644000,0.667,0.006,0.007,0.000,0,18
69,1072.654000,0.667,0.006,0.007,0.000,0,18
70,1072.744000,0.667,0.006,0.007,0.000,0,18
71,1072.794000,0.667,0.006,0.007,0.000,0,18
72,1072.834000,0.667,0.006,0.007,0.000,0,18
73,1072.944000,0.667,0.006,0.007,0.000,0,18
74,1073.044000,0.667,0.006,0.007,0.000,0,18
75,1073.054000,0.667,0.006,0.007,0.000,0,18
76,1073.144000,0.667,0.006,0.007,0.000,0,18
77,1073.154000,0.667,0.006,0.007,0.000,0,18
78,1073.164000,0.667,0.006,0.007,0.000,0,18
79,1073.234000,0.667,0.006,0.007,0.000,0,18
80,1073.244000,0.667,0.006,0.007,0.000,0,18
81,1073.344000,0.667,0.006,0.007,0.000,0,18
82,1073.354000,0.667,0.006,0.007,0.000,0,18
83,1073.434000,0.667,0.006,0.007,0.000,0,18
84,1073.484000,0.667,0.006,0.007,0.000,0,18
85,1073.544000,0.667,0.006,0.007,0.000,0,18
86,1073.644000,0.667,0.006,0.007,0.000,0,18
87,1073.714000,0.667,0.006,0.007,0.000,0,18
88,1073.734000,0.667,0.006,0.007,0.000,0,18
89,1073.834000,0.667,0.008,0.008,0.000,0,18
90,1073.844000,0.667,0.008,0.008,0.000,0,18
91,1073.944000,0.667,0.008,0.008,0.000,0,18
92,1073.954000,0.667,0.007,0.008,0.000,0,18
93,1074.034000,0.667,0.011,0.011,0.000,0,18
94,1074.104000,0.667,0.009,0.009,0.000,0,18
95,1074.144000,0.667,0.012,0.012,0.000,0,18
96,1074.234000,0.667,0.012,0.012,0.000,0,18
97,1074.244000,0.667,0.012,0.012,0.000,0,18
98,1074.334000,0.667,0.008,0.009,0.000,0,18
99,1074.394000,0.667,0.008,0.009,0.000,0,18
100,1074.444000,0.667,0.012,0.013,0.000,0,18
101,1074.544000,0.667,0.012,0.012,0.000,0,18
102,1074.594000,0.667,0.008,0.008,0.000,0,18
103,1074.644000,0.667,0.006,0.007,0.000,0,18
104,1074.744000,0.667,0.014,0.014,0.000,0,18
105,1074.814000,0.667,0.008,0.009,0.000,0,18
106,1074.834000,0.667,0.008,0.008,0.000,0,18
107,1074.894000,0.667,0.007,0.007,0.000,0,18
108,1074.934000,0.667,0.013,0.013,0.000,0,18
109,1074.944000,0.667,0.013,0.013,0.000,0,18
110,1075.034000,0.667,0.011,0.011,0.000,0,18
111,1075.044000,0.667,0.010,0.010,0.000,0,18
112,1075.134000,0.667,0.008,0.008,0.000,0,18
113,1075.144000,0.667,0.006,0.007,0.000,0,18
114,1075.154000,0.667,0.007,0.007,0.000,0,18
115,1075.234000,0.667,0.013,0.013,0.000,0,18
116,1075.284000,0.667,0.007,0.007,0.000,0,18
117,1075.344000,0.667,0.012,0.012,0.000,0,18
118,1075.434000,0.667,0.011,0.011,0.000,0,18
119,1075.464000,0.667,0.010,0.010,0.000,0,18
120,1075.544000,0.667,0.007,0.008,0.000,0,18
