frame,t,n_obs,n_cands_total,ordering_ms,jcbb_ms
0,115.524000,18,12,3,124
1,115.534000,18,12,3,126
2,115.544000,18,12,4,126
3,115.554000,18,12,3,125
4,115.564000,18,12,3,122
5,115.574000,18,12,4,118
6,115.584000,18,12,3,116
7,115.594000,18,12,3,118
8,115.604000,18,12,10,120
9,115.664000,18,12,3,129
10,115.744000,18,12,2,154
11,115.824000,18,12,4,112
12,115.864000,18,12,3,129
13,115.944000,18,12,2,125
14,116.034000,18,12,2,113
15,116.074000,18,12,3,131
16,116.144000,18,12,3,129
17,116.244000,18,12,4,131
18,116.314000,18,12,3,115
19,116.354000,18,12,2,122
20,116.444000,18,12,4,110
21,116.514000,18,12,4,114
22,116.564000,18,12,3,125
23,116.644000,18,12,2,116
24,116.744000,18,12,2,108
25,116.804000,18,12,3,110
26,116.854000,18,12,3,109
27,116.944000,18,12,3,120
28,117.024000,18,12,3,110
29,117.064000,18,12,3,123
30,117.144000,18,12,3,124
31,117.234000,18,12,2,129
32,117.284000,18,12,3,116
33,117.344000,18,12,3,129
34,117.444000,18,12,3,133
35,117.544000,18,12,2,124
36,117.614000,18,12,4,128
37,117.664000,18,12,3,113
38,117.744000,18,12,3,121
39,117.834000,18,12,4,116
40,117.884000,18,12,4,112
41,117.944000,18,12,3,115
42,118.044000,18,12,2,117
43,118.114000,18,12,3,123
44,118.164000,18,12,4,117
45,118.244000,18,12,3,118
46,118.344000,18,12,3,111
47,118.384000,18,12,3,111
48,118.444000,18,12,3,123
49,118.544000,18,12,3,116
50,118.614000,18,12,3,139
51,118.674000,18,12,3,124
52,118.744000,18,12,4,127
53,118.844000,18,12,3,132
54,118.914000,18,12,3,123
55,118.964000,18,12,3,109
56,119.044000,18,12,2,116
57,119.134000,18,12,5,119
58,119.194000,18,12,3,123
59,119.254000,18,12,3,115
60,119.344000,18,12,3,130
61,119.434000,18,12,3,120
62,119.494000,18,12,3,125
63,119.544000,18,12,3,107
64,119.644000,18,12,4,121
65,119.694000,18,12,3,117
66,119.744000,18,12,2,117
67,119.844000,18,12,3,137
68,119.934000,18,12,3,119
69,119.994000,18,12,3,126
70,120.044000,18,12,3,125
71,120.144000,18,12,3,114
72,120.214000,18,12,3,135
73,120.274000,18,12,3,124
74,120.344000,18,12,3,124
75,120.444000,18,12,3,113
76,120.504000,18,12,3,117
77,120.554000,18,12,3,117
78,120.644000,18,12,3,108
79,120.734000,18,12,3,125
80,120.774000,18,12,3,116
81,120.844000,18,12,3,124
82,120.944000,18,12,3,135
83,120.994000,18,12,3,140
84,121.044000,18,12,3,123
85,121.144000,18,12,3,143
86,121.214000,18,12,3,131
87,121.254000,18,12,4,119
88,121.344000,18,12,4,110
89,121.414000,18,12,4,133
90,121.454000,18,12,4,120
91,121.544000,18,12,4,118
92,121.614000,18,12,3,135
93,121.664000,18,12,4,120
94,121.744000,18,12,4,128
95,121.844000,18,12,4,129
96,121.884000,18,12,3,132
97,121.944000,18,12,3,130
98,122.044000,18,12,3,122
99,122.114000,18,12,3,132
100,122.164000,18,12,3,121
101,122.244000,18,12,3,131
102,122.344000,18,12,3,122
103,122.394000,18,12,3,119
104,122.444000,18,12,3,106
105,122.544000,18,12,3,123
106,122.604000,18,12,2,118
107,122.654000,18,12,2,120
108,122.744000,18,12,4,128
109,122.834000,18,12,3,129
110,122.884000,18,12,3,136
111,122.944000,18,12,3,123
112,123.044000,18,12,4,126
113,123.114000,18,12,4,134
114,123.174000,18,12,3,117
115,123.244000,18,12,3,117
116,123.344000,18,12,3,120
117,123.404000,18,12,4,120
118,123.454000,18,12,3,129
119,123.544000,18,12,3,123
120,123.634000,18,12,3,130
121,123.694000,18,12,3,122
122,123.754000,18,12,2,126
123,123.844000,18,12,3,127
124,123.944000,18,12,3,114
125,123.984000,18,12,3,119
126,124.044000,18,12,2,115
127,124.144000,18,12,4,125
128,124.214000,18,12,3,132
129,124.274000,18,12,3,130
130,124.344000,18,12,2,120
131,124.444000,18,12,3,115
132,124.504000,18,12,3,129
133,124.574000,18,12,4,114
134,124.644000,18,12,3,118
135,124.744000,18,12,3,124
136,124.804000,18,12,3,123
137,124.854000,18,12,2,119
138,124.944000,18,12,3,129
139,125.044000,18,12,3,105
140,125.094000,18,12,3,111
