frame,t,match_frac,mean_mahal_sqrt,p95_mahal_sqrt,wrong_side_rate,color_confusions,n_obs
0,115.524000,0.667,0.000,0.000,0.000,0,18
1,115.534000,0.667,0.000,0.000,0.000,0,18
2,115.544000,0.667,0.000,0.000,0.000,0,18
3,115.554000,0.667,0.000,0.000,0.000,0,18
4,115.564000,0.667,0.000,0.000,0.000,0,18
5,115.574000,0.667,0.000,0.000,0.000,0,18
6,115.584000,0.667,0.000,0.000,0.000,0,18
7,115.594000,0.667,0.000,0.000,0.000,0,18
8,115.604000,0.667,0.000,0.000,0.000,0,18
9,115.664000,0.667,0.000,0.000,0.000,0,18
10,115.744000,0.667,0.000,0.000,0.000,0,18
11,115.824000,0.667,0.000,0.000,0.000,0,18
12,115.864000,0.667,0.000,0.000,0.000,0,18
13,115.944000,0.667,0.000,0.000,0.000,0,18
14,116.034000,0.667,0.000,0.000,0.000,0,18
15,116.074000,0.667,0.000,0.000,0.000,0,18
16,116.144000,0.667,0.000,0.000,0.000,0,18
17,116.244000,0.667,0.000,0.000,0.000,0,18
18,116.314000,0.667,0.000,0.000,0.000,0,18
19,116.354000,0.667,0.000,0.000,0.000,0,18
20,116.444000,0.667,0.000,0.000,0.000,0,18
21,116.514000,0.667,0.000,0.000,0.000,0,18
22,116.564000,0.667,0.000,0.000,0.000,0,18
23,116.644000,0.667,0.000,0.000,0.000,0,18
24,116.744000,0.667,0.000,0.000,0.000,0,18
25,116.804000,0.667,0.000,0.000,0.000,0,18
26,116.854000,0.667,0.000,0.000,0.000,0,18
27,116.944000,0.667,0.000,0.000,0.000,0,18
28,117.024000,0.667,0.000,0.000,0.000,0,18
29,117.064000,0.667,0.000,0.000,0.000,0,18
30,117.144000,0.667,0.000,0.000,0.000,0,18
31,117.234000,0.667,0.000,0.000,0.000,0,18
32,117.284000,0.667,0.000,0.000,0.000,0,18
33,117.344000,0.667,0.000,0.000,0.000,0,18
34,117.444000,0.667,0.000,0.000,0.000,0,18
35,117.544000,0.667,0.000,0.000,0.000,0,18
36,117.614000,0.667,0.000,0.000,0.000,0,18
37,117.664000,0.667,0.000,0.000,0.000,0,18
38,117.744000,0.667,0.000,0.000,0.000,0,18
39,117.834000,0.667,0.000,0.000,0.000,0,18
40,117.884000,0.667,0.000,0.000,0.000,0,18
41,117.944000,0.667,0.000,0.000,0.000,0,18
42,118.044000,0.667,0.000,0.000,0.000,0,18
43,118.114000,0.667,0.000,0.000,0.000,0,18
44,118.164000,0.667,0.000,0.000,0.000,0,18
45,118.244000,0.667,0.000,0.000,0.000,0,18
46,118.344000,0.667,0.000,0.000,0.000,0,18
47,118.384000,0.667,0.000,0.000,0.000,0,18
48,118.444000,0.667,0.000,0.000,0.000,0,18
49,118.544000,0.667,0.000,0.000,0.000,0,18
50,118.614000,0.667,0.000,0.000,0.000,0,18
51,118.674000,0.667,0.000,0.000,0.000,0,18
52,118.744000,0.667,0.000,0.000,0.000,0,18
53,118.844000,0.667,0.000,0.000,0.000,0,18
54,118.914000,0.667,0.000,0.000,0.000,0,18
55,118.964000,0.667,0.000,0.000,0.000,0,18
56,119.044000,0.667,0.000,0.000,0.000,0,18
57,119.134000,0.667,0.000,0.000,0.000,0,18
58,119.194000,0.667,0.000,0.000,0.000,0,18
59,119.254000,0.667,0.000,0.000,0.000,0,18
60,119.344000,0.667,0.000,0.000,0.000,0,18
61,119.434000,0.667,0.000,0.000,0.000,0,18
62,119.494000,0.667,0.000,0.000,0.000,0,18
63,119.544000,0.667,0.000,0.000,0.000,0,18
64,119.644000,0.667,0.000,0.000,0.000,0,18
65,119.694000,0.667,0.000,0.000,0.000,0,18
66,119.744000,0.667,0.000,0.000,0.000,0,18
67,119.844000,0.667,0.000,0.000,0.000,0,18
68,119.934000,0.667,0.000,0.000,0.000,0,18
69,119.994000,0.667,0.000,0.000,0.000,0,18
70,120.044000,0.667,0.000,0.000,0.000,0,18
71,120.144000,0.667,0.000,0.000,0.000,0,18
72,120.214000,0.667,0.000,0.000,0.000,0,18
73,120.274000,0.667,0.000,0.000,0.000,0,18
74,120.344000,0.667,0.000,0.000,0.000,0,18
75,120.444000,0.667,0.000,0.000,0.000,0,18
76,120.504000,0.667,0.000,0.000,0.000,0,18
77,120.554000,0.667,0.000,0.000,0.000,0,18
78,120.644000,0.667,0.000,0.000,0.000,0,18
79,120.734000,0.667,0.000,0.000,0.000,0,18
80,120.774000,0.667,0.000,0.000,0.000,0,18
81,120.844000,0.667,0.000,0.000,0.000,0,18
82,120.944000,0.667,0.000,0.000,0.000,0,18
83,120.994000,0.667,0.000,0.000,0.000,0,18
84,121.044000,0.667,0.000,0.000,0.000,0,18
85,121.144000,0.667,0.000,0.000,0.000,0,18
86,121.214000,0.667,0.000,0.000,0.000,0,18
87,121.254000,0.667,0.000,0.000,0.000,0,18
88,121.344000,0.667,0.000,0.000,0.000,0,18
89,121.414000,0.667,0.000,0.000,0.000,0,18
90,121.454000,0.667,0.000,0.000,0.000,0,18
91,121.544000,0.667,0.000,0.000,0.000,0,18
92,121.614000,0.667,0.000,0.000,0.000,0,18
93,121.664000,0.667,0.000,0.000,0.000,0,18
94,121.744000,0.667,0.000,0.000,0.000,0,18
95,121.844000,0.667,0.000,0.000,0.000,0,18
96,121.884000,0.667,0.000,0.000,0.000,0,18
97,121.944000,0.667,0.000,0.000,0.000,0,18
98,122.044000,0.667,0.000,0.000,0.000,0,18
99,122.114000,0.667,0.000,0.000,0.000,0,18
100,122.164000,0.667,0.000,0.000,0.000,0,18
101,122.244000,0.667,0.000,0.000,0.000,0,18
102,122.344000,0.667,0.000,0.000,0.000,0,18
103,122.394000,0.667,0.000,0.000,0.000,0,18
104,122.444000,0.667,0.000,0.000,0.000,0,18
105,122.544000,0.667,0.000,0.000,0.000,0,18
106,122.604000,0.667,0.000,0.000,0.000,0,18
107,122.654000,0.667,0.000,0.000,0.000,0,18
108,122.744000,0.667,0.000,0.000,0.000,0,18
109,122.834000,0.667,0.000,0.000,0.000,0,18
110,122.884000,0.667,0.000,0.000,0.000,0,18
111,122.944000,0.667,0.000,0.000,0.000,0,18
112,123.044000,0.667,0.000,0.000,0.000,0,18
